%StNo BotDep	TimeJ	T090C	DepSM	PrDM	SeaTurbMtr
08 47	7.528712	4.9550	-0.009	-0.009	0.637
08 47	7.528712	4.9561	0.002	0.002	0.637
08 47	7.528713	4.9567	-0.024	-0.024	0.637
08 47	7.528713	4.9574	-0.009	-0.009	0.637
08 47	7.528714	4.9579	-0.009	-0.009	0.637
08 47	7.528714	4.9575	-0.046	-0.047	0.634
08 47	7.528715	4.9563	0.014	0.014	0.634
08 47	7.528715	4.9553	-0.022	-0.022	0.634
08 47	7.528716	4.9547	-0.022	-0.022	0.634
08 47	7.528716	4.9542	-0.024	-0.024	0.634
08 47	7.528717	4.9536	-0.009	-0.009	0.630
08 47	7.528717	4.9538	-0.022	-0.022	0.626
08 47	7.528718	4.9541	-0.022	-0.022	0.623
08 47	7.528718	4.9558	-0.024	-0.024	0.623
08 47	7.528719	4.9574	-0.022	-0.022	0.619
08 47	7.528719	4.9582	-0.009	-0.009	0.619
08 47	7.528720	4.9588	-0.022	-0.022	0.619
08 47	7.528720	4.9596	-0.011	-0.011	0.619
08 47	7.528721	4.9601	-0.022	-0.022	0.623
08 47	7.528721	4.9604	-0.009	-0.009	0.626
08 47	7.528722	4.9600	-0.011	-0.011	0.630
08 47	7.528722	4.9594	-0.009	-0.009	0.626
08 47	7.528723	4.9594	-0.009	-0.009	0.623
08 47	7.528723	4.9591	-0.022	-0.022	0.619
08 47	7.528723	4.9588	0.001	0.001	0.615
08 47	7.528724	4.9584	-0.009	-0.009	0.619
08 47	7.528724	4.9580	-0.009	-0.009	0.623
08 47	7.528725	4.9582	-0.009	-0.009	0.623
08 47	7.528725	4.9583	-0.011	-0.011	0.619
08 47	7.528726	4.9585	-0.009	-0.009	0.619
08 47	7.528726	4.9597	-0.009	-0.009	0.615
08 47	7.528727	4.9615	-0.011	-0.011	0.619
08 47	7.528727	4.9618	-0.009	-0.009	0.619
08 47	7.528728	4.9613	-0.009	-0.009	0.619
08 47	7.528728	4.9607	-0.022	-0.022	0.619
08 47	7.528729	4.9605	-0.024	-0.024	0.619
08 47	7.528729	4.9610	-0.022	-0.022	0.623
08 47	7.528730	4.9621	-0.009	-0.009	0.626
08 47	7.528730	4.9634	-0.033	-0.034	0.623
08 47	7.528731	4.9663	-0.011	-0.011	0.619
08 47	7.528731	4.9684	-0.022	-0.022	0.619
08 47	7.528732	4.9700	-0.022	-0.022	0.615
08 47	7.528732	4.9711	-0.011	-0.011	0.612
08 47	7.528733	4.9717	-0.022	-0.022	0.615
08 47	7.528733	4.9736	-0.022	-0.022	0.615
08 47	7.528734	4.9764	-0.009	-0.009	0.623
08 47	7.528734	4.9788	-0.011	-0.011	0.626
08 47	7.528735	4.9818	-0.009	-0.009	0.623
08 47	7.528735	4.9835	-0.009	-0.009	0.619
08 47	7.528736	4.9846	-0.009	-0.009	0.619
08 47	7.528736	4.9854	0.001	0.001	0.615
08 47	7.528736	4.9863	0.002	0.002	0.612
08 47	7.528737	4.9858	0.002	0.002	0.608
08 47	7.528737	4.9846	0.002	0.002	0.608
08 47	7.528738	4.9824	0.012	0.012	0.608
08 47	7.528738	4.9800	0.002	0.002	0.608
08 47	7.528739	4.9783	0.002	0.002	0.612
08 47	7.528739	4.9766	0.012	0.012	0.615
08 47	7.528740	4.9745	0.002	0.002	0.619
08 47	7.528740	4.9731	0.002	0.002	0.623
08 47	7.528741	4.9720	0.002	0.002	0.623
08 47	7.528741	4.9712	0.001	0.001	0.623
08 47	7.528742	4.9714	0.002	0.002	0.626
08 47	7.528742	4.9720	0.002	0.002	0.630
08 47	7.528743	4.9723	-0.009	-0.009	0.634
08 47	7.528743	4.9728	0.001	0.001	0.634
08 47	7.528744	4.9728	-0.009	-0.009	0.634
08 47	7.528744	4.9731	-0.009	-0.009	0.637
08 47	7.528745	4.9726	-0.011	-0.011	0.634
08 47	7.528745	4.9715	-0.022	-0.022	0.630
08 47	7.528746	4.9704	-0.009	-0.009	0.626
08 47	7.528746	4.9701	-0.009	-0.009	0.623
08 47	7.528747	4.9692	-0.024	-0.024	0.619
08 47	7.528747	4.9695	-0.009	-0.009	0.612
08 47	7.528748	4.9693	-0.009	-0.009	0.608
08 47	7.528748	4.9690	-0.009	-0.009	0.604
08 47	7.528749	4.9687	-0.011	-0.011	0.604
08 47	7.528749	4.9703	-0.022	-0.022	0.604
08 47	7.528750	4.9712	0.002	0.002	0.608
08 47	7.528750	4.9720	-0.009	-0.009	0.608
08 47	7.528750	4.9708	-0.011	-0.011	0.612
08 47	7.528751	4.9700	0.002	0.002	0.612
08 47	7.528751	4.9690	-0.009	-0.009	0.615
08 47	7.528752	4.9679	-0.011	-0.011	0.615
