%StNo BotDep	TimeJ	T090C	DepSM	PrDM	SeaTurbMtr
08 47	7.529636	9.5483	31.326	31.621	0.546
08 47	7.529637	9.5485	31.340	31.636	0.542
08 47	7.529637	9.5483	31.365	31.661	0.542
08 47	7.529638	9.5478	31.378	31.674	0.538
08 47	7.529638	9.5470	31.400	31.697	0.538
08 47	7.529639	9.5464	31.413	31.710	0.538
08 47	7.529639	9.5461	31.438	31.734	0.535
08 47	7.529640	9.5462	31.460	31.757	0.535
08 47	7.529640	9.5471	31.485	31.782	0.531
08 47	7.529641	9.5475	31.506	31.803	0.538
08 47	7.529641	9.5480	31.521	31.818	0.546
08 47	7.529642	9.5486	31.545	31.842	0.553
08 47	7.529642	9.5490	31.569	31.867	0.553
08 47	7.529643	9.5491	31.594	31.892	0.546
08 47	7.529643	9.5495	31.605	31.903	0.538
08 47	7.529644	9.5498	31.629	31.928	0.535
08 47	7.529644	9.5499	31.665	31.964	0.535
08 47	7.529645	9.5499	31.665	31.964	0.535
08 47	7.529645	9.5506	31.701	32.000	0.542
08 47	7.529646	9.5508	31.714	32.013	0.546
08 47	7.529646	9.5514	31.746	32.046	0.542
08 47	7.529647	9.5516	31.749	32.049	0.538
08 47	7.529647	9.5520	31.785	32.085	0.535
08 47	7.529647	9.5528	31.796	32.096	0.531
08 47	7.529648	9.5534	31.821	32.121	0.531
08 47	7.529648	9.5538	31.834	32.134	0.531
08 47	7.529649	9.5543	31.856	32.157	0.535
08 47	7.529649	9.5548	31.881	32.181	0.531
08 47	7.529650	9.5553	31.905	32.206	0.527
08 47	7.529650	9.5555	31.929	32.231	0.527
08 47	7.529651	9.5555	31.941	32.242	0.524
08 47	7.529651	9.5553	31.965	32.267	0.520
08 47	7.529652	9.5555	31.977	32.278	0.520
08 47	7.529652	9.5556	32.001	32.303	0.516
08 47	7.529653	9.5559	32.025	32.327	0.516
08 47	7.529653	9.5566	32.035	32.337	0.513
08 47	7.529654	9.5569	32.072	32.375	0.516
08 47	7.529654	9.5571	32.085	32.388	0.513
08 47	7.529655	9.5567	32.097	32.399	0.520
08 47	7.529655	9.5567	32.121	32.424	0.527
08 47	7.529656	9.5564	32.132	32.435	0.531
08 47	7.529656	9.5561	32.168	32.471	0.531
08 47	7.529657	9.5562	32.181	32.485	0.546
08 47	7.529657	9.5562	32.205	32.509	0.546
08 47	7.529658	9.5566	32.228	32.532	0.538
08 47	7.529658	9.5569	32.241	32.545	0.531
08 47	7.529659	9.5572	32.265	32.570	0.527
08 47	7.529659	9.5574	32.288	32.593	0.527
08 47	7.529660	9.5574	32.312	32.617	0.531
08 47	7.529660	9.5577	32.325	32.630	0.538
08 47	7.529660	9.5580	32.348	32.653	0.542
08 47	7.529661	9.5582	32.373	32.678	0.542
08 47	7.529661	9.5585	32.397	32.702	0.542
08 47	7.529662	9.5592	32.421	32.727	0.538
08 47	7.529662	9.5595	32.433	32.739	0.538
08 47	7.529663	9.5600	32.457	32.763	0.538
08 47	7.529663	9.5600	32.481	32.788	0.538
08 47	7.529664	9.5605	32.493	32.799	0.542
08 47	7.529664	9.5613	32.517	32.824	0.542
08 47	7.529665	9.5615	32.541	32.848	0.538
08 47	7.529665	9.5616	32.553	32.860	0.538
08 47	7.529666	9.5615	32.564	32.871	0.546
08 47	7.529666	9.5614	32.601	32.909	0.553
08 47	7.529667	9.5611	32.624	32.932	0.553
08 47	7.529667	9.5605	32.637	32.945	0.557
08 47	7.529668	9.5601	32.661	32.970	0.557
08 47	7.529668	9.5590	32.684	32.992	0.557
08 47	7.529669	9.5583	32.708	33.017	0.553
08 47	7.529669	9.5576	32.720	33.029	0.549
08 47	7.529670	9.5576	32.733	33.042	0.553
08 47	7.529670	9.5579	32.757	33.066	0.553
08 47	7.529671	9.5585	32.793	33.102	0.549
08 47	7.529671	9.5585	32.804	33.114	0.546
08 47	7.529672	9.5582	32.829	33.138	0.542
08 47	7.529672	9.5579	32.840	33.150	0.549
08 47	7.529673	9.5577	32.877	33.187	0.549
08 47	7.529673	9.5576	32.877	33.187	0.549
08 47	7.529674	9.5574	32.924	33.235	0.542
08 47	7.529674	9.5574	32.924	33.235	0.542
08 47	7.529674	9.5574	32.949	33.260	0.538
08 47	7.529675	9.5574	32.984	33.296	0.538
08 47	7.529675	9.5577	32.997	33.309	0.538
08 47	7.529676	9.5577	33.009	33.320	0.538
08 47	7.529676	9.5576	33.044	33.356	0.542
08 47	7.529677	9.5574	33.044	33.356	0.538
08 47	7.529677	9.5577	33.082	33.394	0.538
08 47	7.529678	9.5574	33.104	33.417	0.535
08 47	7.529678	9.5572	33.129	33.441	0.535
08 47	7.529679	9.5574	33.140	33.453	0.535
08 47	7.529679	9.5572	33.165	33.477	0.535
08 47	7.529680	9.5571	33.189	33.502	0.535
08 47	7.529680	9.5571	33.200	33.514	0.535
08 47	7.529681	9.5567	33.236	33.550	0.535
08 47	7.529681	9.5569	33.249	33.563	0.531
08 47	7.529682	9.5564	33.273	33.587	0.535
08 47	7.529682	9.5564	33.285	33.599	0.542
08 47	7.529683	9.5564	33.320	33.635	0.549
08 47	7.529683	9.5562	33.320	33.635	0.557
08 47	7.529684	9.5561	33.356	33.671	0.557
08 47	7.529684	9.5562	33.382	33.697	0.553
08 47	7.529685	9.5561	33.392	33.707	0.549
08 47	7.529685	9.5558	33.429	33.745	0.546
08 47	7.529686	9.5561	33.429	33.745	0.546
08 47	7.529686	9.5559	33.465	33.781	0.542
08 47	7.529687	9.5556	33.476	33.792	0.538
08 47	7.529687	9.5562	33.501	33.817	0.538
08 47	7.529687	9.5561	33.536	33.853	0.549
08 47	7.529688	9.5566	33.536	33.853	0.564
08 47	7.529688	9.5564	33.561	33.877	0.568
08 47	7.529689	9.5564	33.585	33.902	0.557
08 47	7.529689	9.5561	33.609	33.926	0.542
08 47	7.529690	9.5562	33.632	33.949	0.535
08 47	7.529690	9.5564	33.645	33.962	0.531
08 47	7.529691	9.5566	33.669	33.987	0.527
08 47	7.529691	9.5566	33.705	34.023	0.531
08 47	7.529692	9.5564	33.705	34.023	0.531
08 47	7.529692	9.5564	33.752	34.071	0.531
08 47	7.529693	9.5567	33.741	34.059	0.531
08 47	7.529693	9.5569	33.788	34.107	0.527
08 47	7.529694	9.5574	33.789	34.108	0.527
08 47	7.529694	9.5576	33.825	34.144	0.527
08 47	7.529695	9.5574	33.836	34.156	0.531
08 47	7.529695	9.5572	33.861	34.180	0.531
08 47	7.529696	9.5571	33.897	34.216	0.531
08 47	7.529696	9.5574	33.897	34.216	0.531
08 47	7.529697	9.5574	33.932	34.252	0.527
08 47	7.529697	9.5574	33.945	34.266	0.527
08 47	7.529698	9.5574	33.968	34.289	0.531
08 47	7.529698	9.5572	33.981	34.302	0.524
08 47	7.529699	9.5576	34.017	34.338	0.520
08 47	7.529699	9.5576	34.028	34.349	0.520
08 47	7.529700	9.5574	34.041	34.362	0.527
08 47	7.529700	9.5574	34.077	34.398	0.531
08 47	7.529701	9.5572	34.090	34.411	0.531
08 47	7.529701	9.5571	34.112	34.434	0.527
08 47	7.529701	9.5566	34.137	34.459	0.527
08 47	7.529702	9.5567	34.161	34.484	0.527
08 47	7.529702	9.5569	34.161	34.484	0.531
08 47	7.529703	9.5572	34.208	34.531	0.527
08 47	7.529703	9.5576	34.221	34.544	0.527
08 47	7.529704	9.5579	34.233	34.556	0.527
08 47	7.529704	9.5580	34.257	34.580	0.527
08 47	7.529705	9.5583	34.281	34.605	0.524
08 47	7.529705	9.5582	34.304	34.628	0.520
08 47	7.529706	9.5583	34.328	34.652	0.520
08 47	7.529706	9.5582	34.341	34.665	0.524
08 47	7.529707	9.5582	34.364	34.688	0.524
08 47	7.529707	9.5580	34.388	34.713	0.524
08 47	7.529708	9.5582	34.401	34.726	0.520
08 47	7.529708	9.5582	34.437	34.762	0.520
08 47	7.529709	9.5583	34.450	34.775	0.520
08 47	7.529709	9.5582	34.460	34.785	0.520
08 47	7.529710	9.5579	34.497	34.823	0.520
08 47	7.529710	9.5582	34.520	34.846	0.520
08 47	7.529711	9.5582	34.533	34.859	0.516
08 47	7.529711	9.5580	34.557	34.883	0.516
08 47	7.529712	9.5582	34.569	34.895	0.516
08 47	7.529712	9.5579	34.617	34.944	0.516
08 47	7.529713	9.5579	34.617	34.944	0.520
08 47	7.529713	9.5577	34.629	34.955	0.524
08 47	7.529714	9.5579	34.677	35.005	0.527
08 47	7.529714	9.5580	34.689	35.016	0.527
08 47	7.529715	9.5579	34.713	35.041	0.531
08 47	7.529715	9.5579	34.724	35.052	0.535
08 47	7.529715	9.5576	34.749	35.077	0.535
08 47	7.529716	9.5571	34.773	35.101	0.531
08 47	7.529716	9.5569	34.797	35.126	0.531
08 47	7.529717	9.5567	34.809	35.137	0.527
08 47	7.529717	9.5569	34.833	35.162	0.527
08 47	7.529718	9.5567	34.869	35.198	0.527
08 47	7.529718	9.5569	34.880	35.209	0.542
08 47	7.529719	9.5566	34.893	35.223	0.557
08 47	7.529719	9.5566	34.916	35.246	0.553
08 47	7.529720	9.5567	34.929	35.259	0.542
08 47	7.529720	9.5566	34.965	35.295	0.531
08 47	7.529721	9.5566	34.989	35.319	0.527
08 47	7.529721	9.5564	35.000	35.331	0.535
08 47	7.529722	9.5566	35.025	35.355	0.542
08 47	7.529722	9.5564	35.049	35.380	0.535
08 47	7.529723	9.5564	35.060	35.391	0.527
08 47	7.529723	9.5569	35.085	35.416	0.527
08 47	7.529724	9.5566	35.109	35.441	0.531
08 47	7.529724	9.5567	35.133	35.465	0.531
08 47	7.529725	9.5566	35.145	35.477	0.527
08 47	7.529725	9.5562	35.169	35.501	0.527
08 47	7.529726	9.5561	35.193	35.526	0.531
08 47	7.529726	9.5556	35.205	35.537	0.527
08 47	7.529727	9.5559	35.229	35.562	0.524
08 47	7.529727	9.5562	35.254	35.586	0.520
08 47	7.529728	9.5559	35.265	35.598	0.524
08 47	7.529728	9.5558	35.289	35.622	0.527
08 47	7.529728	9.5556	35.312	35.645	0.527
08 47	7.529729	9.5558	35.325	35.658	0.527
08 47	7.529729	9.5558	35.349	35.683	0.524
08 47	7.529730	9.5559	35.372	35.706	0.524
08 47	7.529730	9.5561	35.385	35.719	0.524
08 47	7.529731	9.5561	35.409	35.744	0.524
08 47	7.529731	9.5561	35.432	35.767	0.527
08 47	7.529732	9.5562	35.456	35.791	0.527
08 47	7.529732	9.5561	35.469	35.804	0.531
08 47	7.529733	9.5558	35.481	35.816	0.527
08 47	7.529733	9.5555	35.517	35.852	0.527
08 47	7.529734	9.5555	35.541	35.876	0.520
08 47	7.529734	9.5551	35.541	35.876	0.520
08 47	7.529735	9.5553	35.565	35.901	0.520
08 47	7.529735	9.5556	35.601	35.937	0.524
08 47	7.529736	9.5556	35.612	35.949	0.524
08 47	7.529736	9.5558	35.637	35.973	0.524
08 47	7.529737	9.5556	35.650	35.986	0.520
08 47	7.529737	9.5558	35.685	36.022	0.520
08 47	7.529738	9.5559	35.685	36.022	0.520
08 47	7.529738	9.5558	35.721	36.058	0.520
08 47	7.529739	9.5558	35.732	36.070	0.520
08 47	7.529739	9.5558	35.768	36.106	0.520
08 47	7.529740	9.5558	35.781	36.119	0.524
08 47	7.529740	9.5561	35.805	36.144	0.524
08 47	7.529741	9.5559	35.817	36.155	0.524
08 47	7.529741	9.5562	35.841	36.180	0.520
08 47	7.529742	9.5564	35.866	36.204	0.520
08 47	7.529742	9.5562	35.877	36.216	0.520
08 47	7.529742	9.5562	35.901	36.240	0.520
08 47	7.529743	9.5559	35.926	36.265	0.516
08 47	7.529743	9.5558	35.937	36.276	0.520
08 47	7.529744	9.5558	35.973	36.312	0.520
08 47	7.529744	9.5561	35.986	36.325	0.520
08 47	7.529745	9.5559	36.008	36.348	0.520
08 47	7.529745	9.5558	36.021	36.362	0.520
08 47	7.529746	9.5558	36.057	36.398	0.524
08 47	7.529746	9.5555	36.068	36.409	0.524
08 47	7.529747	9.5556	36.093	36.434	0.520
08 47	7.529747	9.5551	36.117	36.458	0.520
08 47	7.529748	9.5551	36.117	36.458	0.524
08 47	7.529748	9.5551	36.166	36.507	0.524
08 47	7.529749	9.5550	36.164	36.506	0.520
08 47	7.529749	9.5548	36.189	36.530	0.520
08 47	7.529750	9.5546	36.226	36.568	0.520
08 47	7.529750	9.5546	36.237	36.580	0.524
08 47	7.529751	9.5548	36.249	36.591	0.527
08 47	7.529751	9.5546	36.262	36.604	0.538
08 47	7.529752	9.5548	36.309	36.652	0.538
08 47	7.529752	9.5546	36.322	36.665	0.531
08 47	7.529753	9.5546	36.333	36.676	0.524
08 47	7.529753	9.5548	36.357	36.701	0.524
08 47	7.529754	9.5546	36.382	36.725	0.520
08 47	7.529754	9.5546	36.405	36.748	0.520
08 47	7.529755	9.5546	36.418	36.761	0.520
08 47	7.529755	9.5546	36.440	36.784	0.516
08 47	7.529755	9.5545	36.465	36.809	0.516
08 47	7.529756	9.5545	36.478	36.822	0.520
08 47	7.529756	9.5548	36.513	36.858	0.516
08 47	7.529757	9.5548	36.525	36.870	0.520
08 47	7.529757	9.5546	36.549	36.894	0.516
08 47	7.529758	9.5546	36.562	36.907	0.516
08 47	7.529758	9.5543	36.598	36.943	0.516
08 47	7.529759	9.5545	36.609	36.955	0.520
08 47	7.529759	9.5543	36.622	36.968	0.524
08 47	7.529760	9.5538	36.632	36.978	0.531
08 47	7.529760	9.5537	36.669	37.015	0.531
08 47	7.529761	9.5534	36.694	37.040	0.527
08 47	7.529761	9.5535	36.705	37.052	0.531
08 47	7.529762	9.5533	36.729	37.076	0.538
08 47	7.529762	9.5537	36.741	37.088	0.535
08 47	7.529763	9.5533	36.765	37.112	0.527
08 47	7.529763	9.5532	36.789	37.137	0.524
08 47	7.529764	9.5535	36.801	37.148	0.524
08 47	7.529764	9.5534	36.825	37.173	0.524
08 47	7.529765	9.5532	36.848	37.196	0.520
08 47	7.529765	9.5533	36.874	37.222	0.524
08 47	7.529766	9.5534	36.896	37.245	0.527
08 47	7.529766	9.5530	36.898	37.247	0.527
08 47	7.529767	9.5530	36.909	37.258	0.531
08 47	7.529767	9.5528	36.981	37.330	0.531
08 47	7.529768	9.5527	36.970	37.319	0.531
08 47	7.529768	9.5527	36.981	37.330	0.531
08 47	7.529769	9.5527	37.005	37.355	0.535
08 47	7.529769	9.5524	37.028	37.378	0.531
08 47	7.529769	9.5527	37.054	37.404	0.527
08 47	7.529770	9.5525	37.077	37.427	0.531
08 47	7.529770	9.5518	37.090	37.440	0.538
08 47	7.529771	9.5518	37.112	37.463	0.546
08 47	7.529771	9.5516	37.138	37.489	0.538
08 47	7.529772	9.5512	37.161	37.512	0.531
08 47	7.529772	9.5516	37.172	37.524	0.531
08 47	7.529773	9.5517	37.198	37.550	0.527
08 47	7.529773	9.5518	37.233	37.584	0.524
08 47	7.529774	9.5511	37.234	37.586	0.520
08 47	7.529774	9.5509	37.268	37.620	0.524
08 47	7.529775	9.5508	37.270	37.622	0.524
08 47	7.529775	9.5507	37.317	37.669	0.524
08 47	7.529776	9.5504	37.319	37.671	0.524
08 47	7.529776	9.5502	37.353	37.706	0.524
08 47	7.529777	9.5499	37.366	37.719	0.520
08 47	7.529777	9.5498	37.401	37.755	0.520
08 47	7.529778	9.5497	37.401	37.755	0.520
08 47	7.529778	9.5497	37.437	37.791	0.520
08 47	7.529779	9.5501	37.450	37.804	0.524
08 47	7.529779	9.5501	37.473	37.827	0.524
08 47	7.529780	9.5501	37.499	37.853	0.527
08 47	7.529780	9.5498	37.509	37.863	0.527
08 47	7.529781	9.5498	37.546	37.901	0.527
08 47	7.529781	9.5497	37.569	37.924	0.538
08 47	7.529782	9.5494	37.570	37.925	0.546
08 47	7.529782	9.5495	37.604	37.960	0.542
08 47	7.529783	9.5492	37.630	37.986	0.538
08 47	7.529783	9.5494	37.640	37.996	0.535
08 47	7.529783	9.5495	37.655	38.010	0.535
08 47	7.529784	9.5493	37.700	38.056	0.531
08 47	7.529784	9.5493	37.702	38.058	0.527
08 47	7.529785	9.5491	37.725	38.081	0.527
08 47	7.529785	9.5492	37.762	38.119	0.527
08 47	7.529786	9.5488	37.773	38.130	0.531
08 47	7.529786	9.5488	37.786	38.143	0.527
08 47	7.529787	9.5487	37.820	38.178	0.535
08 47	7.529787	9.5483	37.835	38.192	0.542
08 47	7.529788	9.5482	37.856	38.214	0.546
08 47	7.529788	9.5479	37.882	38.240	0.546
08 47	7.529789	9.5477	37.893	38.251	0.542
08 47	7.529789	9.5478	37.906	38.264	0.535
08 47	7.529790	9.5477	37.965	38.323	0.535
08 47	7.529790	9.5476	37.953	38.312	0.531
08 47	7.529791	9.5472	37.991	38.350	0.531
08 47	7.529791	9.5474	38.001	38.360	0.531
08 47	7.529792	9.5468	38.015	38.374	0.535
08 47	7.529792	9.5459	38.049	38.409	0.535
08 47	7.529793	9.5454	38.062	38.422	0.542
08 47	7.529793	9.5450	38.072	38.432	0.549
08 47	7.529794	9.5449	38.098	38.458	0.560
08 47	7.529794	9.5453	38.121	38.481	0.575
08 47	7.529795	9.5455	38.145	38.505	0.579
08 47	7.529795	9.5457	38.158	38.519	0.575
08 47	7.529796	9.5456	38.169	38.530	0.564
08 47	7.529796	9.5457	38.195	38.556	0.553
08 47	7.529796	9.5456	38.216	38.578	0.546
08 47	7.529797	9.5455	38.231	38.592	0.546
08 47	7.529797	9.5453	38.252	38.614	0.553
08 47	7.529798	9.5454	38.277	38.638	0.564
08 47	7.529798	9.5455	38.291	38.653	0.568
08 47	7.529799	9.5452	38.312	38.674	0.568
08 47	7.529799	9.5456	38.338	38.700	0.560
08 47	7.529800	9.5451	38.350	38.712	0.549
08 47	7.529800	9.5449	38.376	38.738	0.546
08 47	7.529801	9.5446	38.397	38.759	0.542
08 47	7.529801	9.5440	38.421	38.784	0.538
08 47	7.529802	9.5441	38.436	38.799	0.535
08 47	7.529802	9.5440	38.445	38.809	0.535
08 47	7.529803	9.5440	38.471	38.835	0.535
08 47	7.529803	9.5440	38.493	38.856	0.531
08 47	7.529804	9.5437	38.506	38.869	0.535
08 47	7.529804	9.5434	38.531	38.896	0.542
08 47	7.529805	9.5435	38.553	38.917	0.557
08 47	7.529805	9.5437	38.567	38.932	0.560
08 47	7.529806	9.5436	38.588	38.953	0.560
08 47	7.529806	9.5438	38.601	38.966	0.564
08 47	7.529807	9.5437	38.627	38.992	0.560
08 47	7.529807	9.5441	38.648	39.014	0.560
08 47	7.529808	9.5440	38.663	39.028	0.553
08 47	7.529808	9.5443	38.673	39.038	0.546
08 47	7.529809	9.5439	38.708	39.074	0.542
08 47	7.529809	9.5438	38.723	39.089	0.542
08 47	7.529810	9.5437	38.744	39.110	0.542
08 47	7.529810	9.5435	38.712	39.078	0.542
08 47	7.529810	9.5434	38.817	39.184	0.538
08 47	7.529811	9.5435	38.804	39.171	0.535
08 47	7.529811	9.5435	38.819	39.186	0.531
08 47	7.529812	9.5437	38.842	39.209	0.535
08 47	7.529812	9.5437	38.853	39.220	0.538
08 47	7.529813	9.5436	38.879	39.246	0.538
08 47	7.529813	9.5437	38.889	39.256	0.538
08 47	7.529814	9.5439	38.913	39.281	0.538
08 47	7.529814	9.5438	38.939	39.307	0.542
08 47	7.529815	9.5439	38.949	39.317	0.542
08 47	7.529815	9.5440	38.976	39.345	0.542
08 47	7.529816	9.5436	39.009	39.378	0.535
08 47	7.529816	9.5435	39.009	39.378	0.531
08 47	7.529817	9.5435	39.036	39.405	0.531
08 47	7.529817	9.5434	39.058	39.427	0.531
08 47	7.529818	9.5437	39.080	39.450	0.535
08 47	7.529818	9.5437	39.097	39.466	0.531
08 47	7.529819	9.5438	39.118	39.487	0.535
08 47	7.529819	9.5436	39.140	39.510	0.538
08 47	7.529820	9.5437	39.168	39.538	0.546
08 47	7.529820	9.5436	39.189	39.559	0.542
08 47	7.529821	9.5435	39.189	39.559	0.549
08 47	7.529821	9.5428	39.239	39.610	0.553
08 47	7.529822	9.5427	39.238	39.609	0.553
08 47	7.529822	9.5419	39.274	39.645	0.564
08 47	7.529823	9.5419	39.288	39.659	0.579
08 47	7.529823	9.5419	39.309	39.681	0.568
08 47	7.529823	9.5415	39.321	39.692	0.553
08 47	7.529824	9.5414	39.348	39.720	0.542
08 47	7.529824	9.5415	39.381	39.753	0.538
08 47	7.529825	9.5414	39.381	39.753	0.531
08 47	7.529825	9.5416	39.408	39.781	0.531
08 47	7.529826	9.5414	39.454	39.827	0.531
08 47	7.529826	9.5416	39.454	39.827	0.531
08 47	7.529827	9.5413	39.477	39.850	0.535
08 47	7.529827	9.5410	39.504	39.878	0.535
08 47	7.529828	9.5409	39.514	39.887	0.531
08 47	7.529828	9.5406	39.550	39.923	0.531
08 47	7.529829	9.5406	39.577	39.951	0.527
08 47	7.529829	9.5401	39.585	39.959	0.527
08 47	7.529830	9.5401	39.597	39.971	0.527
08 47	7.529830	9.5396	39.637	40.012	0.527
08 47	7.529831	9.5394	39.657	40.032	0.531
08 47	7.529831	9.5388	39.657	40.032	0.535
08 47	7.529832	9.5385	39.706	40.081	0.538
08 47	7.529832	9.5383	39.720	40.096	0.538
08 47	7.529833	9.5380	39.730	40.105	0.535
08 47	7.529833	9.5380	39.766	40.141	0.531
08 47	7.529834	9.5379	39.777	40.153	0.527
08 47	7.529834	9.5377	39.805	40.181	0.527
08 47	7.529835	9.5374	39.826	40.202	0.527
08 47	7.529835	9.5372	39.837	40.214	0.531
08 47	7.529836	9.5369	39.865	40.241	0.527
08 47	7.529836	9.5361	39.886	40.263	0.527
08 47	7.529837	9.5356	39.910	40.287	0.527
08 47	7.529837	9.5355	39.922	40.299	0.524
08 47	7.529837	9.5358	39.949	40.327	0.531
08 47	7.529838	9.5359	39.970	40.348	0.535
08 47	7.529838	9.5351	39.982	40.360	0.538
08 47	7.529839	9.5350	40.006	40.384	0.538
08 47	7.529839	9.5346	40.021	40.399	0.538
08 47	7.529840	9.5345	40.053	40.432	0.538
08 47	7.529840	9.5343	40.077	40.456	0.538
08 47	7.529841	9.5338	40.077	40.456	0.535
08 47	7.529841	9.5338	40.118	40.497	0.535
08 47	7.529842	9.5340	40.126	40.505	0.535
08 47	7.529842	9.5338	40.150	40.530	0.531
08 47	7.529843	9.5335	40.162	40.541	0.535
08 47	7.529843	9.5336	40.189	40.569	0.535
08 47	7.529844	9.5338	40.211	40.591	0.538
08 47	7.529844	9.5340	40.222	40.602	0.542
08 47	7.529845	9.5345	40.258	40.638	0.542
08 47	7.529845	9.5348	40.271	40.651	0.542
08 47	7.529846	9.5348	40.285	40.666	0.538
08 47	7.529846	9.5350	40.293	40.674	0.538
08 47	7.529847	9.5348	40.331	40.712	0.542
08 47	7.529847	9.5346	40.353	40.735	0.546
08 47	7.529848	9.5351	40.370	40.751	0.542
08 47	7.529848	9.5345	40.389	40.771	0.535
08 47	7.529849	9.5345	40.402	40.784	0.531
08 47	7.529849	9.5346	40.438	40.820	0.531
08 47	7.529850	9.5346	40.449	40.832	0.527
08 47	7.529850	9.5350	40.466	40.848	0.527
08 47	7.529851	9.5348	40.498	40.881	0.531
08 47	7.529851	9.5329	40.522	40.905	0.527
08 47	7.529851	9.5314	40.522	40.905	0.531
08 47	7.529852	9.5290	40.558	40.942	0.535
08 47	7.529852	9.5265	40.574	40.958	0.538
08 47	7.529853	9.5254	40.607	40.991	0.535
08 47	7.529853	9.5244	40.607	40.991	0.531
08 47	7.529854	9.5246	40.643	41.027	0.535
08 47	7.529854	9.5244	40.654	41.038	0.531
08 47	7.529855	9.5246	40.682	41.066	0.531
08 47	7.529855	9.5247	40.703	41.087	0.527
08 47	7.529856	9.5246	40.714	41.099	0.531
08 47	7.529856	9.5246	40.738	41.124	0.535
08 47	7.529857	9.5248	40.774	41.160	0.542
08 47	7.529857	9.5252	40.774	41.160	0.546
08 47	7.529858	9.5250	40.802	41.187	0.546
08 47	7.529858	9.5251	40.823	41.209	0.542
08 47	7.529859	9.5250	40.846	41.232	0.542
08 47	7.529859	9.5246	40.859	41.245	0.542
08 47	7.529860	9.5246	40.883	41.269	0.538
08 47	7.529860	9.5246	40.906	41.292	0.535
08 47	7.529861	9.5244	40.935	41.322	0.531
08 47	7.529861	9.5241	40.954	41.342	0.531
08 47	7.529862	9.5239	40.966	41.353	0.531
08 47	7.529862	9.5231	40.990	41.378	0.531
08 47	7.529863	9.5228	41.014	41.402	0.527
08 47	7.529863	9.5222	41.026	41.414	0.531
08 47	7.529864	9.5225	41.055	41.443	0.531
08 47	7.529864	9.5225	41.075	41.463	0.531
08 47	7.529864	9.5226	41.099	41.488	0.531
08 47	7.529865	9.5220	41.110	41.499	0.531
08 47	7.529865	9.5208	41.135	41.524	0.531
08 47	7.529866	9.5201	41.159	41.548	0.531
08 47	7.529866	9.5200	41.183	41.573	0.535
08 47	7.529867	9.5196	41.187	41.576	0.538
08 47	7.529867	9.5195	41.219	41.609	0.538
08 47	7.529868	9.5193	41.243	41.633	0.538
08 47	7.529868	9.5196	41.266	41.656	0.535
08 47	7.529869	9.5198	41.279	41.670	0.535
08 47	7.529869	9.5198	41.291	41.681	0.535
08 47	7.529870	9.5203	41.326	41.717	0.535
08 47	7.529870	9.5209	41.339	41.730	0.535
08 47	7.529871	9.5215	41.367	41.758	0.538
08 47	7.529871	9.5220	41.375	41.766	0.538
08 47	7.529872	9.5220	41.399	41.791	0.535
08 47	7.529872	9.5222	41.422	41.814	0.531
08 47	7.529873	9.5218	41.435	41.827	0.531
08 47	7.529873	9.5214	41.459	41.852	0.531
08 47	7.529874	9.5213	41.471	41.863	0.535
08 47	7.529874	9.5214	41.507	41.899	0.531
08 47	7.529875	9.5213	41.520	41.912	0.535
08 47	7.529875	9.5218	41.500	41.893	0.535
08 47	7.529876	9.5219	41.580	41.973	0.527
08 47	7.529876	9.5213	41.567	41.960	0.527
08 47	7.529877	9.5210	41.602	41.996	0.520
08 47	7.529877	9.5205	41.602	41.996	0.524
08 47	7.529878	9.5203	41.627	42.020	0.527
08 47	7.529878	9.5203	41.663	42.056	0.527
08 47	7.529878	9.5210	41.663	42.056	0.527
08 47	7.529879	9.5215	41.687	42.081	0.527
08 47	7.529879	9.5215	41.711	42.106	0.531
08 47	7.529880	9.5216	41.723	42.117	0.535
08 47	7.529880	9.5220	41.747	42.142	0.531
08 47	7.529881	9.5221	41.763	42.158	0.527
08 47	7.529881	9.5220	41.796	42.191	0.527
08 47	7.529882	9.5223	41.807	42.202	0.527
08 47	7.529882	9.5225	41.820	42.216	0.527
08 47	7.529883	9.5221	41.856	42.252	0.531
08 47	7.529883	9.5225	41.856	42.252	0.527
08 47	7.529884	9.5225	41.892	42.288	0.527
08 47	7.529884	9.5225	41.903	42.299	0.527
08 47	7.529885	9.5224	41.927	42.324	0.549
08 47	7.529885	9.5218	41.952	42.348	0.560
08 47	7.529886	9.5217	41.963	42.360	0.560
08 47	7.529886	9.5216	41.987	42.384	0.549
08 47	7.529887	9.5214	42.000	42.398	0.542
08 47	7.529887	9.5213	42.023	42.421	0.538
08 47	7.529888	9.5206	42.036	42.434	0.546
08 47	7.529888	9.5205	42.072	42.470	0.571
08 47	7.529889	9.5208	42.072	42.470	0.586
08 47	7.529889	9.5205	42.112	42.511	0.571
08 47	7.529890	9.5201	42.132	42.530	0.557
08 47	7.529890	9.5198	42.143	42.542	0.557
08 47	7.529891	9.5197	42.168	42.566	0.557
08 47	7.529891	9.5185	42.192	42.591	0.549
08 47	7.529891	9.5179	42.203	42.603	0.542
08 47	7.529892	9.5177	42.228	42.627	0.542
08 47	7.529892	9.5174	42.263	42.663	0.542
08 47	7.529893	9.5173	42.276	42.676	0.546
08 47	7.529893	9.5171	42.288	42.688	0.542
08 47	7.529894	9.5166	42.312	42.712	0.538
08 47	7.529894	9.5163	42.337	42.737	0.538
