%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	-0.024	4.9318	28.0325	22.1632	2.8083e-01	0.4410	0.612	1461.58	82.784	6.1452	7.528682
08 47	-0.009	4.9304	28.0349	22.1652	2.6862e-01	0.4385	0.612	1461.58	82.728	6.1411	7.528683
08 47	-0.022	4.9290	28.0389	22.1685	2.6862e-01	0.4398	0.612	1461.58	82.680	6.1376	7.528683
08 47	-0.022	4.9290	28.0408	22.1700	2.6862e-01	0.4410	0.615	1461.58	82.632	6.1339	7.528684
08 47	-0.024	4.9296	28.0397	22.1691	2.5641e-01	0.4398	0.623	1461.58	82.592	6.1309	7.528684
08 47	-0.033	4.9312	28.0372	22.1670	2.5641e-01	0.4434	0.623	1461.58	82.491	6.1233	7.528685
08 47	-0.022	4.9326	28.0336	22.1640	2.6862e-01	0.4447	0.623	1461.59	82.447	6.1200	7.528685
08 47	-0.024	4.9335	28.0302	22.1612	2.6862e-01	0.4434	0.619	1461.58	82.405	6.1169	7.528686
08 47	-0.033	4.9344	28.0286	22.1599	2.6862e-01	0.4447	0.619	1461.59	82.366	6.1139	7.528686
08 47	-0.022	4.9367	28.0244	22.1563	2.8083e-01	0.4459	0.615	1461.59	82.267	6.1064	7.528687
08 47	-0.033	4.9382	28.0213	22.1537	2.8083e-01	0.4434	0.615	1461.59	82.164	6.0986	7.528687
08 47	-0.035	4.9383	28.0206	22.1531	2.9304e-01	0.4422	0.615	1461.59	82.120	6.0954	7.528688
08 47	-0.033	4.9381	28.0157	22.1493	2.9304e-01	0.4422	0.612	1461.59	82.081	6.0927	7.528688
08 47	-0.022	4.9382	28.0150	22.1487	2.9304e-01	0.4434	0.608	1461.58	81.985	6.0856	7.528689
08 47	-0.022	4.9379	28.0158	22.1493	2.8083e-01	0.4422	0.604	1461.58	81.949	6.0829	7.528689
08 47	-0.035	4.9382	28.0118	22.1462	2.6862e-01	0.4434	0.601	1461.58	81.856	6.0761	7.528690
08 47	-0.033	4.9391	28.0130	22.1470	2.8083e-01	0.4422	0.601	1461.59	81.824	6.0736	7.528690
08 47	-0.022	4.9399	28.0146	22.1482	2.6862e-01	0.4422	0.601	1461.59	81.729	6.0663	7.528691
08 47	-0.024	4.9406	28.0149	22.1484	2.6862e-01	0.4422	0.601	1461.59	81.695	6.0637	7.528691
08 47	-0.022	4.9407	28.0193	22.1519	2.6862e-01	0.4434	0.604	1461.60	81.607	6.0570	7.528692
08 47	-0.022	4.9411	28.0209	22.1531	2.6862e-01	0.4398	0.604	1461.60	81.519	6.0503	7.528692
08 47	-0.022	4.9412	28.0228	22.1546	2.6862e-01	0.4385	0.604	1461.61	81.486	6.0478	7.528693
08 47	-0.011	4.9410	28.0251	22.1564	2.6862e-01	0.4434	0.608	1461.61	81.400	6.0413	7.528693
08 47	-0.022	4.9410	28.0230	22.1548	2.6862e-01	0.4447	0.608	1461.61	81.378	6.0398	7.528694
08 47	-0.009	4.9406	28.0229	22.1547	2.6862e-01	0.4410	0.612	1461.60	81.233	6.0291	7.528694
08 47	-0.009	4.9402	28.0233	22.1551	2.5641e-01	0.4410	0.612	1461.60	81.136	6.0219	7.528695
