%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	48.788	9.4145	34.6017	26.7381	1.4652e-01	-0.0120	0.560	1488.06	75.531	4.8427	7.530040
08 47	48.813	9.4138	34.6019	26.7383	1.4652e-01	-0.0120	0.557	1488.06	75.533	4.8429	7.530041
08 47	48.834	9.4129	34.6021	26.7387	1.4652e-01	-0.0120	0.553	1488.05	75.543	4.8436	7.530041
08 47	48.862	9.4120	34.6028	26.7394	1.4652e-01	-0.0120	0.549	1488.05	75.492	4.8404	7.530041
08 47	48.858	9.4111	34.6039	26.7404	1.4652e-01	-0.0120	0.542	1488.05	75.551	4.8443	7.530042
08 47	48.909	9.4112	34.6039	26.7403	1.4652e-01	-0.0120	0.542	1488.05	75.496	4.8407	7.530042
08 47	48.909	9.4116	34.6036	26.7401	1.4652e-01	-0.0120	0.546	1488.05	75.556	4.8445	7.530043
08 47	48.931	9.4106	34.6038	26.7403	1.4652e-01	-0.0120	0.546	1488.05	75.502	4.8411	7.530043
08 47	48.957	9.4098	34.6035	26.7402	1.4652e-01	-0.0120	0.546	1488.05	75.502	4.8413	7.530044
08 47	48.969	9.4096	34.6036	26.7404	1.4652e-01	-0.0120	0.557	1488.05	75.565	4.8453	7.530044
08 47	49.003	9.4095	34.6036	26.7404	1.4652e-01	-0.0120	0.564	1488.05	75.513	4.8420	7.530045
08 47	49.005	9.4090	34.6041	26.7409	1.4652e-01	-0.0120	0.560	1488.04	75.516	4.8422	7.530045
08 47	49.042	9.4089	34.6046	26.7413	1.4652e-01	-0.0120	0.557	1488.05	75.574	4.8459	7.530046
08 47	49.052	9.4087	34.6044	26.7411	1.4652e-01	-0.0120	0.557	1488.04	75.578	4.8462	7.530046
08 47	49.089	9.4087	34.6042	26.7410	1.4652e-01	-0.0120	0.564	1488.04	75.460	4.8387	7.530047
08 47	49.089	9.4083	34.6040	26.7409	1.4652e-01	-0.0120	0.560	1488.04	75.458	4.8386	7.530047
08 47	49.112	9.4085	34.6038	26.7407	1.4652e-01	-0.0120	0.557	1488.04	75.451	4.8381	7.530048
08 47	49.125	9.4078	34.6036	26.7406	1.4652e-01	-0.0120	0.549	1488.04	75.444	4.8378	7.530048
08 47	49.162	9.4070	34.6043	26.7413	1.3431e-01	-0.0120	0.553	1488.04	75.439	4.8375	7.530049
08 47	49.183	9.4062	34.6046	26.7417	1.4652e-01	-0.0120	0.557	1488.04	75.434	4.8372	7.530049
08 47	49.185	9.4062	34.6042	26.7414	1.4652e-01	-0.0120	0.557	1488.04	75.430	4.8370	7.530050
08 47	49.209	9.4055	34.6045	26.7418	1.4652e-01	-0.0120	0.557	1488.04	75.365	4.8329	7.530050
08 47	49.232	9.4051	34.6036	26.7411	1.4652e-01	-0.0120	0.557	1488.03	75.418	4.8363	7.530051
08 47	49.258	9.4038	34.6042	26.7418	1.4652e-01	-0.0120	0.557	1488.03	75.478	4.8403	7.530051
08 47	49.269	9.4028	34.6045	26.7422	1.4652e-01	-0.0120	0.564	1488.03	75.423	4.8369	7.530052
08 47	49.279	9.4023	34.6053	26.7429	1.4652e-01	-0.0120	0.582	1488.03	75.362	4.8330	7.530052
08 47	49.318	9.4026	34.6053	26.7428	1.4652e-01	-0.0120	0.586	1488.03	75.356	4.8326	7.530053
08 47	49.330	9.4033	34.6051	26.7426	1.4652e-01	-0.0120	0.579	1488.03	75.345	4.8318	7.530053
08 47	49.352	9.4030	34.6057	26.7431	1.3431e-01	-0.0120	0.575	1488.03	75.334	4.8312	7.530054
08 47	49.365	9.4038	34.6050	26.7425	1.4652e-01	-0.0120	0.568	1488.03	75.325	4.8305	7.530054
08 47	49.403	9.4042	34.6046	26.7420	1.4652e-01	-0.0120	0.560	1488.03	75.323	4.8303	7.530054
08 47	49.412	9.4039	34.6036	26.7413	1.4652e-01	-0.0120	0.553	1488.03	75.254	4.8260	7.530055
08 47	49.425	9.4026	34.6043	26.7420	1.4652e-01	-0.0120	0.553	1488.03	75.241	4.8252	7.530055
08 47	49.450	9.4015	34.6046	26.7425	1.4652e-01	-0.0120	0.549	1488.03	75.236	4.8250	7.530056
08 47	49.473	9.4007	34.6055	26.7433	1.4652e-01	-0.0120	0.560	1488.02	75.164	4.8205	7.530056
08 47	49.499	9.4002	34.6063	26.7440	1.4652e-01	-0.0120	0.568	1488.02	75.147	4.8195	7.530057
08 47	49.510	9.3997	34.6063	26.7441	1.4652e-01	-0.0120	0.571	1488.02	75.133	4.8186	7.530057
08 47	49.523	9.3990	34.6062	26.7442	1.4652e-01	-0.0120	0.571	1488.02	75.126	4.8182	7.530058
08 47	49.557	9.3983	34.6069	26.7448	1.4652e-01	-0.0120	0.568	1488.02	75.115	4.8175	7.530058
08 47	49.570	9.3981	34.6069	26.7448	1.4652e-01	-0.0120	0.564	1488.02	75.105	4.8169	7.530059
08 47	49.594	9.3979	34.6066	26.7447	1.4652e-01	-0.0120	0.560	1488.02	75.035	4.8124	7.530059
08 47	49.617	9.3981	34.6064	26.7444	1.4652e-01	-0.0120	0.560	1488.02	75.021	4.8115	7.530060
08 47	49.630	9.3976	34.6065	26.7446	1.4652e-01	-0.0120	0.560	1488.02	75.008	4.8108	7.530060
08 47	49.655	9.3969	34.6065	26.7447	1.4652e-01	-0.0120	0.564	1488.01	74.998	4.8102	7.530061
08 47	49.679	9.3958	34.6064	26.7448	1.4652e-01	-0.0120	0.571	1488.01	74.928	4.8058	7.530061
08 47	49.689	9.3945	34.6066	26.7452	1.4652e-01	-0.0120	0.571	1488.01	74.914	4.8051	7.530062
08 47	49.726	9.3935	34.6068	26.7455	1.4652e-01	-0.0120	0.564	1488.00	74.903	4.8044	7.530062
08 47	49.726	9.3924	34.6072	26.7460	1.4652e-01	-0.0120	0.568	1488.00	74.832	4.8000	7.530063
08 47	49.762	9.3914	34.6073	26.7463	1.4652e-01	-0.0120	0.568	1488.00	74.818	4.7992	7.530063
08 47	49.775	9.3905	34.6081	26.7470	1.4652e-01	-0.0120	0.564	1487.99	74.806	4.7985	7.530064
08 47	49.799	9.3898	34.6081	26.7472	1.4652e-01	-0.0120	0.560	1487.99	74.796	4.7980	7.530064
08 47	49.824	9.3895	34.6078	26.7470	1.4652e-01	-0.0120	0.557	1487.99	74.789	4.7975	7.530065
08 47	49.833	9.3886	34.6088	26.7479	1.4652e-01	-0.0120	0.553	1487.99	74.715	4.7929	7.530065
08 47	49.871	9.3890	34.6085	26.7475	1.4652e-01	-0.0120	0.553	1487.99	74.706	4.7922	7.530066
08 47	49.884	9.3893	34.6086	26.7476	1.4652e-01	-0.0120	0.557	1487.99	74.692	4.7913	7.530066
08 47	49.906	9.3898	34.6086	26.7475	1.4652e-01	-0.0120	0.571	1488.00	74.625	4.7870	7.530067
08 47	49.929	9.3901	34.6086	26.7475	1.3431e-01	-0.0120	0.579	1488.00	74.610	4.7859	7.530067
08 47	49.955	9.3901	34.6085	26.7474	1.4652e-01	-0.0120	0.586	1488.00	74.596	4.7851	7.530068
08 47	49.980	9.3907	34.6083	26.7471	1.3431e-01	-0.0120	0.586	1488.00	74.593	4.7848	7.530068
08 47	49.991	9.3906	34.6083	26.7471	1.4652e-01	-0.0120	0.593	1488.00	74.523	4.7804	7.530068
08 47	50.025	9.3906	34.6079	26.7469	1.4652e-01	-0.0120	0.601	1488.00	74.511	4.7796	7.530069
08 47	50.027	9.3896	34.6088	26.7477	1.4652e-01	-0.0120	0.601	1488.00	74.509	4.7795	7.530069
08 47	50.064	9.3894	34.6091	26.7480	1.4652e-01	-0.0120	0.593	1488.00	74.510	4.7796	7.530070
08 47	50.087	9.3891	34.6092	26.7481	1.4652e-01	-0.0120	0.586	1488.00	74.439	4.7751	7.530070
08 47	50.110	9.3886	34.6089	26.7480	1.4652e-01	-0.0120	0.579	1487.99	74.425	4.7743	7.530071
08 47	50.124	9.3880	34.6093	26.7484	1.4652e-01	-0.0120	0.575	1487.99	74.414	4.7736	7.530071
08 47	50.160	9.3872	34.6100	26.7491	1.4652e-01	-0.0120	0.568	1487.99	74.345	4.7692	7.530072
08 47	50.171	9.3867	34.6102	26.7493	1.4652e-01	-0.0120	0.564	1487.99	74.333	4.7685	7.530072
08 47	50.194	9.3856	34.6113	26.7503	1.3431e-01	-0.0120	0.560	1487.99	74.324	4.7680	7.530073
08 47	50.220	9.3856	34.6116	26.7505	1.4652e-01	-0.0120	0.560	1487.99	74.319	4.7676	7.530073
08 47	50.244	9.3865	34.6109	26.7499	1.4652e-01	-0.0120	0.557	1487.99	74.309	4.7669	7.530074
08 47	50.267	9.3867	34.6108	26.7497	1.4652e-01	-0.0120	0.557	1487.99	74.309	4.7669	7.530074
08 47	50.279	9.3867	34.6100	26.7491	1.4652e-01	-0.0120	0.557	1487.99	74.319	4.7676	7.530075
08 47	50.305	9.3859	34.6105	26.7497	1.4652e-01	-0.0120	0.557	1487.99	74.326	4.7681	7.530075
08 47	50.327	9.3856	34.6108	26.7499	1.4652e-01	-0.0120	0.557	1487.99	74.268	4.7644	7.530076
08 47	50.352	9.3849	34.6113	26.7504	1.4652e-01	-0.0120	0.557	1487.99	74.267	4.7644	7.530076
08 47	50.376	9.3844	34.6116	26.7507	1.4652e-01	-0.0120	0.560	1487.99	74.269	4.7646	7.530077
08 47	50.399	9.3844	34.6108	26.7501	1.4652e-01	-0.0120	0.560	1487.99	74.274	4.7650	7.530077
08 47	50.425	9.3842	34.6107	26.7500	1.4652e-01	-0.0120	0.560	1487.99	74.283	4.7655	7.530078
08 47	50.436	9.3842	34.6114	26.7506	1.4652e-01	-0.0120	0.571	1487.99	74.294	4.7662	7.530078
08 47	50.472	9.3841	34.6108	26.7502	1.4652e-01	-0.0120	0.575	1487.99	74.302	4.7667	7.530079
08 47	50.472	9.3836	34.6107	26.7502	1.4652e-01	-0.0120	0.571	1487.98	74.312	4.7675	7.530079
08 47	50.508	9.3834	34.6105	26.7500	1.4652e-01	-0.0120	0.564	1487.98	74.264	4.7644	7.530080
08 47	50.532	9.3832	34.6106	26.7501	1.4652e-01	-0.0120	0.560	1487.98	74.328	4.7685	7.530080
08 47	50.545	9.3827	34.6108	26.7504	1.4652e-01	-0.0120	0.560	1487.98	74.278	4.7654	7.530081
08 47	50.581	9.3827	34.6109	26.7505	1.4652e-01	-0.0120	0.557	1487.98	74.286	4.7659	7.530081
08 47	50.592	9.3827	34.6104	26.7501	1.4652e-01	-0.0120	0.557	1487.98	74.297	4.7666	7.530082
08 47	50.615	9.3824	34.6102	26.7499	1.4652e-01	-0.0120	0.560	1487.98	74.310	4.7675	7.530082
08 47	50.641	9.3818	34.6106	26.7504	1.4652e-01	-0.0120	0.557	1487.98	74.327	4.7686	7.530082
08 47	50.652	9.3808	34.6112	26.7510	1.4652e-01	-0.0120	0.549	1487.98	74.339	4.7694	7.530083
08 47	50.688	9.3806	34.6115	26.7513	1.4652e-01	-0.0120	0.549	1487.98	74.353	4.7704	7.530083
08 47	50.713	9.3806	34.6114	26.7512	1.4652e-01	-0.0120	0.546	1487.98	74.370	4.7715	7.530084
08 47	50.688	9.3798	34.6124	26.7521	1.4652e-01	-0.0120	0.557	1487.98	74.329	4.7689	7.530084
08 47	50.797	9.3795	34.6124	26.7522	1.4652e-01	-0.0120	0.564	1487.98	74.399	4.7734	7.530085
08 47	50.786	9.3790	34.6125	26.7523	1.4652e-01	-0.0120	0.568	1487.98	74.417	4.7746	7.530085
08 47	50.797	9.3792	34.6125	26.7523	1.4652e-01	-0.0120	0.568	1487.98	74.437	4.7758	7.530086
08 47	50.821	9.3792	34.6126	26.7524	1.4652e-01	-0.0120	0.564	1487.98	74.452	4.7768	7.530086
08 47	50.846	9.3795	34.6123	26.7521	1.4652e-01	-0.0120	0.568	1487.98	74.469	4.7779	7.530087
08 47	50.880	9.3795	34.6121	26.7519	1.4652e-01	-0.0120	0.568	1487.98	74.488	4.7791	7.530087
08 47	50.882	9.3798	34.6113	26.7513	1.4652e-01	-0.0120	0.560	1487.98	74.448	4.7765	7.530088
08 47	50.917	9.3795	34.6116	26.7515	1.4652e-01	-0.0120	0.553	1487.98	74.465	4.7776	7.530088
08 47	50.929	9.3793	34.6117	26.7517	1.4652e-01	-0.0120	0.549	1487.98	74.476	4.7784	7.530089
08 47	50.977	9.3786	34.6123	26.7523	1.4652e-01	-0.0120	0.549	1487.98	74.490	4.7794	7.530089
08 47	50.977	9.3790	34.6123	26.7522	1.4652e-01	-0.0120	0.549	1487.98	74.506	4.7803	7.530090
08 47	51.002	9.3792	34.6119	26.7518	1.4652e-01	-0.0120	0.553	1487.98	74.516	4.7810	7.530090
08 47	51.038	9.3792	34.6123	26.7522	1.4652e-01	-0.0120	0.557	1487.98	74.529	4.7818	7.530091
08 47	51.049	9.3796	34.6115	26.7514	1.4652e-01	-0.0120	0.564	1487.98	74.543	4.7827	7.530091
08 47	51.073	9.3795	34.6120	26.7519	1.4652e-01	-0.0120	0.568	1487.98	74.497	4.7797	7.530092
08 47	51.098	9.3795	34.6122	26.7520	1.4652e-01	-0.0120	0.571	1487.98	74.563	4.7839	7.530092
08 47	51.109	9.3790	34.6125	26.7523	1.4652e-01	-0.0120	0.575	1487.98	74.574	4.7847	7.530093
08 47	51.133	9.3788	34.6124	26.7523	1.4652e-01	-0.0120	0.571	1487.98	74.527	4.7817	7.530093
08 47	51.169	9.3785	34.6125	26.7524	1.4652e-01	-0.0120	0.564	1487.98	74.535	4.7823	7.530094
08 47	51.169	9.3783	34.6125	26.7525	1.4652e-01	-0.0120	0.557	1487.98	74.538	4.7825	7.530094
08 47	51.207	9.3785	34.6126	26.7525	1.4652e-01	-0.0120	0.553	1487.98	74.604	4.7867	7.530095
08 47	51.229	9.3785	34.6128	26.7526	1.4652e-01	-0.0120	0.557	1487.98	74.616	4.7874	7.530095
08 47	51.242	9.3782	34.6130	26.7528	1.4652e-01	-0.0120	0.564	1487.98	74.623	4.7879	7.530095
08 47	51.267	9.3782	34.6130	26.7528	1.4652e-01	-0.0120	0.568	1487.98	74.630	4.7883	7.530096
08 47	51.278	9.3783	34.6123	26.7523	1.4652e-01	-0.0120	0.571	1487.98	74.577	4.7849	7.530096
08 47	51.314	9.3782	34.6127	26.7526	1.3431e-01	-0.0108	0.568	1487.98	74.641	4.7890	7.530097
08 47	51.327	9.3778	34.6131	26.7530	1.4652e-01	-0.0120	0.568	1487.98	74.651	4.7897	7.530097
08 47	51.338	9.3777	34.6128	26.7528	1.4652e-01	-0.0120	0.568	1487.98	74.661	4.7904	7.530098
08 47	51.374	9.3775	34.6129	26.7529	1.4652e-01	-0.0120	0.564	1487.98	74.673	4.7912	7.530098
08 47	51.387	9.3770	34.6133	26.7533	1.4652e-01	-0.0120	0.560	1487.98	74.686	4.7920	7.530099
08 47	51.410	9.3770	34.6133	26.7533	1.4652e-01	-0.0120	0.557	1487.98	74.692	4.7925	7.530099
08 47	51.434	9.3768	34.6133	26.7533	1.4652e-01	-0.0120	0.560	1487.98	74.699	4.7929	7.530100
08 47	51.434	9.3768	34.6133	26.7533	1.4652e-01	-0.0120	0.568	1487.98	74.707	4.7934	7.530100
08 47	51.470	9.3765	34.6132	26.7533	1.4652e-01	-0.0120	0.571	1487.98	74.715	4.7940	7.530101
08 47	51.494	9.3765	34.6133	26.7534	1.4652e-01	-0.0120	0.571	1487.98	74.724	4.7945	7.530101
08 47	51.507	9.3763	34.6138	26.7538	1.3431e-01	-0.0120	0.575	1487.98	74.733	4.7951	7.530102
08 47	51.519	9.3763	34.6137	26.7537	1.3431e-01	-0.0120	0.571	1487.98	74.743	4.7957	7.530102
08 47	51.567	9.3763	34.6134	26.7535	1.3431e-01	-0.0120	0.568	1487.98	74.753	4.7964	7.530103
08 47	51.567	9.3763	34.6135	26.7536	1.4652e-01	-0.0120	0.568	1487.98	74.757	4.7967	7.530103
08 47	51.590	9.3760	34.6135	26.7536	1.4652e-01	-0.0120	0.568	1487.98	74.768	4.7974	7.530104
08 47	51.603	9.3760	34.6135	26.7536	1.4652e-01	-0.0120	0.560	1487.98	74.773	4.7977	7.530104
08 47	51.628	9.3758	34.6142	26.7541	1.3431e-01	-0.0120	0.557	1487.98	74.778	4.7980	7.530105
08 47	51.650	9.3757	34.6137	26.7538	1.4652e-01	-0.0120	0.557	1487.98	74.783	4.7984	7.530105
08 47	51.675	9.3757	34.6138	26.7539	1.4652e-01	-0.0120	0.553	1487.98	74.850	4.8027	7.530106
08 47	51.688	9.3757	34.6138	26.7538	1.4652e-01	-0.0120	0.553	1487.98	74.862	4.8035	7.530106
08 47	51.699	9.3753	34.6141	26.7542	1.4652e-01	-0.0120	0.557	1487.98	74.813	4.8004	7.530107
08 47	51.735	9.3753	34.6135	26.7537	1.4652e-01	-0.0120	0.560	1487.98	74.881	4.8047	7.530107
08 47	51.735	9.3752	34.6136	26.7538	1.4652e-01	-0.0120	0.564	1487.98	74.832	4.8016	7.530108
08 47	51.771	9.3750	34.6140	26.7541	1.4652e-01	-0.0120	0.571	1487.98	74.892	4.8055	7.530108
08 47	51.771	9.3752	34.6136	26.7538	1.4652e-01	-0.0120	0.571	1487.98	74.905	4.8063	7.530109
08 47	51.808	9.3750	34.6137	26.7539	1.4652e-01	-0.0120	0.575	1487.98	74.917	4.8071	7.530109
08 47	51.831	9.3749	34.6140	26.7542	1.4652e-01	-0.0120	0.582	1487.98	74.930	4.8079	7.530109
08 47	51.831	9.3749	34.6136	26.7538	1.4652e-01	-0.0120	0.586	1487.98	74.942	4.8087	7.530110
08 47	51.868	9.3749	34.6140	26.7542	1.4652e-01	-0.0120	0.582	1487.98	74.955	4.8095	7.530110
08 47	51.880	9.3749	34.6141	26.7542	1.4652e-01	-0.0120	0.575	1487.98	74.968	4.8103	7.530111
08 47	51.904	9.3745	34.6134	26.7537	1.4652e-01	-0.0120	0.571	1487.98	74.973	4.8107	7.530111
08 47	51.915	9.3744	34.6140	26.7542	1.4652e-01	-0.0120	0.575	1487.98	74.979	4.8111	7.530112
08 47	51.951	9.3742	34.6138	26.7541	1.4652e-01	-0.0120	0.571	1487.98	74.984	4.8114	7.530112
08 47	51.964	9.3742	34.6137	26.7540	1.4652e-01	-0.0120	0.564	1487.98	74.988	4.8117	7.530113
08 47	51.975	9.3742	34.6141	26.7543	1.4652e-01	-0.0120	0.560	1487.98	74.932	4.8081	7.530113
08 47	52.000	9.3739	34.6141	26.7544	1.4652e-01	-0.0120	0.560	1487.98	74.990	4.8119	7.530114
08 47	52.013	9.3739	34.6142	26.7545	1.4652e-01	-0.0120	0.564	1487.98	74.995	4.8121	7.530114
08 47	52.049	9.3737	34.6142	26.7545	1.4652e-01	-0.0120	0.568	1487.98	74.999	4.8124	7.530115
08 47	52.060	9.3737	34.6141	26.7544	1.4652e-01	-0.0120	0.568	1487.98	74.995	4.8122	7.530115
08 47	52.084	9.3735	34.6146	26.7549	1.4652e-01	-0.0120	0.575	1487.98	74.998	4.8124	7.530116
08 47	52.096	9.3735	34.6144	26.7547	1.4652e-01	-0.0120	0.586	1487.98	75.001	4.8126	7.530116
08 47	52.120	9.3732	34.6146	26.7549	1.4652e-01	-0.0120	0.586	1487.98	74.996	4.8123	7.530117
08 47	52.144	9.3735	34.6140	26.7543	1.4652e-01	-0.0120	0.579	1487.98	74.991	4.8120	7.530117
08 47	52.169	9.3734	34.6142	26.7546	1.4652e-01	-0.0120	0.571	1487.98	74.985	4.8116	7.530118
08 47	52.180	9.3734	34.6141	26.7545	1.4652e-01	-0.0120	0.571	1487.98	74.986	4.8117	7.530118
08 47	52.216	9.3729	34.6150	26.7553	1.4652e-01	-0.0120	0.571	1487.98	74.987	4.8117	7.530119
08 47	52.229	9.3730	34.6147	26.7550	1.4652e-01	-0.0120	0.571	1487.98	74.987	4.8117	7.530119
08 47	52.253	9.3729	34.6150	26.7553	1.4652e-01	-0.0120	0.575	1487.98	74.987	4.8117	7.530120
08 47	52.276	9.3730	34.6150	26.7553	1.4652e-01	-0.0120	0.579	1487.98	74.979	4.8112	7.530120
08 47	52.289	9.3730	34.6151	26.7553	1.4652e-01	-0.0120	0.582	1487.98	74.978	4.8112	7.530121
08 47	52.325	9.3733	34.6147	26.7549	1.4652e-01	-0.0120	0.579	1487.98	74.977	4.8111	7.530121
08 47	52.325	9.3733	34.6143	26.7547	1.4652e-01	-0.0120	0.571	1487.98	74.976	4.8110	7.530122
08 47	52.361	9.3733	34.6143	26.7546	1.4652e-01	-0.0120	0.564	1487.98	74.974	4.8109	7.530122
08 47	52.374	9.3729	34.6145	26.7548	1.4652e-01	-0.0120	0.564	1487.98	74.972	4.8108	7.530122
08 47	52.396	9.3725	34.6145	26.7549	1.4652e-01	-0.0120	0.560	1487.98	74.970	4.8107	7.530123
08 47	52.421	9.3725	34.6147	26.7551	1.4652e-01	-0.0120	0.564	1487.98	74.967	4.8105	7.530123
08 47	52.445	9.3725	34.6147	26.7551	1.4652e-01	-0.0120	0.579	1487.98	74.964	4.8103	7.530124
08 47	52.457	9.3722	34.6150	26.7553	1.4652e-01	-0.0120	0.582	1487.98	74.961	4.8101	7.530124
08 47	52.494	9.3722	34.6150	26.7553	1.4652e-01	-0.0120	0.593	1487.98	74.958	4.8099	7.530125
08 47	52.505	9.3725	34.6149	26.7552	1.4652e-01	-0.0120	0.619	1487.98	74.954	4.8096	7.530125
08 47	52.530	9.3725	34.6146	26.7550	1.4652e-01	-0.0120	0.619	1487.98	74.950	4.8094	7.530126
08 47	52.554	9.3720	34.6145	26.7550	1.3431e-01	-0.0120	0.604	1487.98	74.945	4.8092	7.530126
08 47	52.590	9.3719	34.6148	26.7553	1.4652e-01	-0.0120	0.593	1487.98	74.880	4.8050	7.530127
08 47	52.590	9.3715	34.6152	26.7557	1.4652e-01	-0.0120	0.579	1487.98	74.868	4.8042	7.530127
08 47	52.626	9.3717	34.6148	26.7553	1.4652e-01	-0.0120	0.571	1487.98	74.857	4.8035	7.530128
08 47	52.637	9.3714	34.6151	26.7556	1.4652e-01	-0.0120	0.568	1487.98	74.907	4.8067	7.530128
08 47	52.661	9.3714	34.6148	26.7553	1.4652e-01	-0.0120	0.568	1487.98	74.841	4.8025	7.530129
08 47	52.686	9.3712	34.6150	26.7555	1.4652e-01	-0.0120	0.571	1487.98	74.836	4.8022	7.530129
08 47	52.697	9.3709	34.6149	26.7555	1.4652e-01	-0.0120	0.571	1487.98	74.832	4.8020	7.530130
08 47	52.721	9.3706	34.6152	26.7558	1.4652e-01	-0.0120	0.582	1487.98	74.821	4.8013	7.530130
08 47	52.757	9.3701	34.6156	26.7562	1.4652e-01	-0.0120	0.593	1487.98	74.817	4.8011	7.530131
08 47	52.782	9.3702	34.6153	26.7560	1.4652e-01	-0.0120	0.590	1487.98	74.867	4.8043	7.530131
08 47	52.782	9.3702	34.6155	26.7561	1.4652e-01	-0.0120	0.586	1487.98	74.870	4.8045	7.530132
08 47	52.817	9.3701	34.6153	26.7559	1.4652e-01	-0.0120	0.582	1487.98	74.811	4.8007	7.530132
08 47	52.830	9.3702	34.6152	26.7559	1.4652e-01	-0.0120	0.575	1487.98	74.869	4.8044	7.530133
08 47	52.866	9.3701	34.6156	26.7562	1.4652e-01	-0.0120	0.568	1487.98	74.811	4.8007	7.530133
08 47	52.878	9.3704	34.6155	26.7561	1.3431e-01	-0.0120	0.564	1487.98	74.807	4.8004	7.530134
08 47	52.913	9.3708	34.6153	26.7558	1.4652e-01	-0.0120	0.568	1487.99	74.804	4.8002	7.530134
08 47	52.939	9.3708	34.6156	26.7560	1.4652e-01	-0.0120	0.571	1487.99	74.862	4.8039	7.530135
08 47	52.951	9.3710	34.6150	26.7555	1.4652e-01	-0.0120	0.568	1487.99	74.805	4.8003	7.530135
08 47	52.986	9.3708	34.6150	26.7555	1.4652e-01	-0.0120	0.564	1487.99	74.802	4.8001	7.530136
08 47	52.999	9.3703	34.6150	26.7557	1.4652e-01	-0.0120	0.571	1487.98	74.800	4.8000	7.530136
08 47	53.011	9.3703	34.6150	26.7557	1.4652e-01	-0.0120	0.582	1487.98	74.798	4.7999	7.530136
08 47	53.047	9.3698	34.6155	26.7562	1.4652e-01	-0.0120	0.597	1487.98	74.789	4.7993	7.530137
08 47	53.071	9.3700	34.6155	26.7561	1.4652e-01	-0.0120	0.590	1487.99	74.788	4.7992	7.530137
08 47	53.082	9.3698	34.6153	26.7560	1.4652e-01	-0.0120	0.575	1487.98	74.847	4.8031	7.530138
08 47	53.120	9.3695	34.6150	26.7558	1.4652e-01	-0.0120	0.564	1487.98	74.853	4.8035	7.530138
08 47	53.120	9.3691	34.6152	26.7560	1.4652e-01	-0.0120	0.560	1487.98	74.858	4.8038	7.530139
08 47	53.167	9.3684	34.6158	26.7566	1.4652e-01	-0.0120	0.564	1487.98	74.802	4.8003	7.530139
08 47	53.167	9.3682	34.6157	26.7566	1.4652e-01	-0.0120	0.575	1487.98	74.801	4.8002	7.530140
08 47	53.203	9.3682	34.6157	26.7565	1.4652e-01	-0.0120	0.579	1487.98	74.861	4.8041	7.530140
08 47	53.227	9.3681	34.6159	26.7567	1.3431e-01	-0.0120	0.571	1487.98	74.867	4.8045	7.530141
08 47	53.251	9.3681	34.6160	26.7569	1.4652e-01	-0.0120	0.560	1487.98	74.873	4.8049	7.530141
08 47	53.276	9.3682	34.6160	26.7568	1.3431e-01	-0.0120	0.560	1487.98	74.879	4.8052	7.530142
08 47	53.287	9.3682	34.6162	26.7570	1.4652e-01	-0.0120	0.564	1487.98	74.885	4.8056	7.530142
08 47	53.323	9.3682	34.6160	26.7568	1.3431e-01	-0.0120	0.568	1487.98	74.891	4.8060	7.530143
08 47	53.336	9.3681	34.6157	26.7566	1.4652e-01	-0.0120	0.568	1487.98	74.896	4.8064	7.530143
08 47	53.360	9.3679	34.6158	26.7567	1.4652e-01	-0.0120	0.564	1487.98	74.902	4.8068	7.530144
08 47	53.383	9.3679	34.6156	26.7565	1.4652e-01	-0.0120	0.553	1487.98	74.908	4.8072	7.530144
08 47	53.396	9.3679	34.6157	26.7566	1.4652e-01	-0.0120	0.549	1487.98	74.914	4.8075	7.530145
08 47	53.432	9.3679	34.6158	26.7567	1.4652e-01	-0.0120	0.546	1487.98	74.920	4.8079	7.530145
08 47	53.443	9.3676	34.6162	26.7571	1.4652e-01	-0.0120	0.542	1487.98	74.926	4.8083	7.530146
08 47	53.481	9.3675	34.6162	26.7570	1.4652e-01	-0.0120	0.542	1487.98	74.932	4.8087	7.530146
08 47	53.492	9.3675	34.6159	26.7568	1.4652e-01	-0.0120	0.542	1487.98	74.876	4.8052	7.530147
08 47	53.516	9.3677	34.6157	26.7566	1.4652e-01	-0.0120	0.542	1487.98	74.937	4.8090	7.530147
08 47	53.539	9.3672	34.6161	26.7571	1.4652e-01	-0.0120	0.542	1487.98	74.943	4.8095	7.530148
08 47	53.552	9.3672	34.6162	26.7571	1.4652e-01	-0.0120	0.538	1487.98	74.949	4.8099	7.530148
08 47	53.588	9.3674	34.6157	26.7567	1.4652e-01	-0.0120	0.538	1487.98	74.955	4.8103	7.530149
08 47	53.601	9.3668	34.6164	26.7573	1.4652e-01	-0.0120	0.538	1487.98	74.961	4.8107	7.530149
08 47	53.648	9.3667	34.6165	26.7574	1.4652e-01	-0.0120	0.542	1487.98	74.968	4.8111	7.530149
08 47	53.648	9.3667	34.6162	26.7572	1.4652e-01	-0.0120	0.538	1487.98	74.974	4.8115	7.530150
08 47	53.672	9.3670	34.6159	26.7569	1.3431e-01	-0.0120	0.538	1487.99	74.973	4.8114	7.530150
08 47	53.697	9.3670	34.6161	26.7571	1.4652e-01	-0.0120	0.542	1487.99	74.972	4.8113	7.530151
