%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	0.100	5.0301	29.8099	23.5600	2.9304e-01	0.3604	0.718	1464.25	74.141	5.4256	7.346664
08 47	0.077	5.0311	29.8093	23.5595	2.9304e-01	0.3616	0.780	1464.25	74.171	5.4277	7.346664
08 47	0.088	5.0315	29.8108	23.5606	3.0525e-01	0.3616	0.762	1464.26	74.141	5.4254	7.346665
08 47	0.098	5.0284	29.8149	23.5642	3.0525e-01	0.3592	0.714	1464.25	74.167	5.4276	7.346665
08 47	0.077	5.0257	29.8163	23.5656	3.0525e-01	0.3604	0.681	1464.24	74.188	5.4294	7.346666
08 47	0.100	5.0236	29.8167	23.5661	3.0525e-01	0.3628	0.681	1464.23	74.210	5.4313	7.346666
08 47	0.088	5.0200	29.8172	23.5669	3.0525e-01	0.3592	0.707	1464.22	74.296	5.4380	7.346667
08 47	0.087	5.0184	29.8127	23.5635	3.0525e-01	0.3592	0.762	1464.20	74.266	5.4362	7.346667
08 47	0.088	5.0210	29.8069	23.5586	2.9304e-01	0.3592	0.842	1464.21	74.283	5.4373	7.346668
08 47	0.113	5.0219	29.8078	23.5592	2.9304e-01	0.3616	0.897	1464.21	74.300	5.4384	7.346668
08 47	0.087	5.0219	29.8100	23.5610	2.9304e-01	0.3604	0.879	1464.21	74.317	5.4395	7.346669
08 47	0.113	5.0177	29.8142	23.5648	2.9304e-01	0.3616	0.824	1464.20	74.332	5.4411	7.346669
08 47	0.100	5.0123	29.8164	23.5671	2.8083e-01	0.3641	0.762	1464.18	74.409	5.4473	7.346670
08 47	0.113	5.0120	29.8131	23.5644	2.8083e-01	0.3641	0.718	1464.18	74.430	5.4490	7.346670
08 47	0.122	5.0109	29.8110	23.5629	2.8083e-01	0.3641	0.692	1464.17	74.450	5.4507	7.346671
08 47	0.113	5.0065	29.8121	23.5643	2.8083e-01	0.3616	0.692	1464.15	74.466	5.4524	7.346671
08 47	0.124	5.0074	29.8095	23.5620	2.8083e-01	0.3592	0.725	1464.16	74.480	5.4534	7.346671
08 47	0.124	5.0098	29.8084	23.5610	2.8083e-01	0.3592	0.758	1464.16	74.491	5.4540	7.346672
08 47	0.135	5.0099	29.8096	23.5619	2.8083e-01	0.3616	0.769	1464.17	74.508	5.4551	7.346672
08 47	0.148	5.0084	29.8099	23.5623	2.8083e-01	0.3616	0.747	1464.16	74.583	5.4608	7.346673
08 47	0.135	5.0055	29.8071	23.5604	2.8083e-01	0.3628	0.729	1464.14	74.537	5.4579	7.346673
08 47	0.160	5.0001	29.8045	23.5589	2.8083e-01	0.3653	0.751	1464.12	74.604	5.4636	7.346674
08 47	0.158	4.9907	29.8044	23.5598	2.6862e-01	0.3665	0.773	1464.08	74.611	5.4654	7.346674
08 47	0.160	4.9761	29.8058	23.5624	2.8083e-01	0.3677	0.758	1464.02	74.622	5.4681	7.346675
08 47	0.173	4.9696	29.7997	23.5582	2.8083e-01	0.3690	0.725	1463.99	74.691	5.4742	7.346675
08 47	0.173	4.9569	29.8037	23.5627	2.8083e-01	0.3702	0.703	1463.94	74.699	5.4763	7.346676
08 47	0.182	4.9321	29.8140	23.5734	2.9304e-01	0.3702	0.696	1463.85	74.773	5.4846	7.346676
08 47	0.173	4.9186	29.8060	23.5685	2.9304e-01	0.3702	0.696	1463.78	74.794	5.4882	7.346677
08 47	0.195	4.9181	29.7894	23.5553	2.9304e-01	0.3726	0.703	1463.76	74.792	5.4888	7.346677
08 47	0.184	4.9170	29.7796	23.5477	2.9304e-01	0.3714	0.703	1463.75	74.862	5.4944	7.346678
08 47	0.194	4.9129	29.7743	23.5439	3.0525e-01	0.3677	0.692	1463.72	74.879	5.4964	7.346678
08 47	0.195	4.9066	29.7717	23.5425	3.0525e-01	0.3653	0.674	1463.69	74.950	5.5026	7.346679
08 47	0.184	4.9016	29.7711	23.5425	3.1746e-01	0.3628	0.656	1463.67	74.960	5.5039	7.346679
08 47	0.195	4.8953	29.7729	23.5446	3.1746e-01	0.3628	0.648	1463.65	74.969	5.5054	7.346680
08 47	0.194	4.8948	29.7716	23.5436	3.0525e-01	0.3653	0.637	1463.64	75.032	5.5101	7.346680
08 47	0.184	4.9022	29.7667	23.5390	2.9304e-01	0.3653	0.623	1463.67	75.040	5.5099	7.346681
08 47	0.184	4.9083	29.7644	23.5365	2.9304e-01	0.3641	0.619	1463.69	75.039	5.5091	7.346681
08 47	0.184	4.9122	29.7637	23.5356	2.9304e-01	0.3653	0.619	1463.70	75.100	5.5131	7.346682
08 47	0.182	4.9156	29.7615	23.5335	2.9304e-01	0.3653	0.626	1463.72	75.104	5.5131	7.346682
08 47	0.184	4.9219	29.7596	23.5314	2.9304e-01	0.3616	0.637	1463.74	75.108	5.5125	7.346683
08 47	0.173	4.9300	29.7622	23.5326	2.8083e-01	0.3604	0.641	1463.78	75.163	5.5154	7.346683
08 47	0.173	4.9404	29.7647	23.5335	2.8083e-01	0.3580	0.645	1463.82	75.163	5.5139	7.346684
08 47	0.171	4.9454	29.7716	23.5385	2.8083e-01	0.3580	0.648	1463.85	75.214	5.5168	7.346684
08 47	0.160	4.9545	29.7725	23.5382	2.8083e-01	0.3604	0.652	1463.89	75.208	5.5151	7.346685
08 47	0.160	4.9739	29.7675	23.5323	2.6862e-01	0.3604	0.652	1463.96	75.199	5.5121	7.346685
08 47	0.148	4.9896	29.7734	23.5354	2.6862e-01	0.3628	0.648	1464.04	75.250	5.5135	7.346685
08 47	0.135	5.0052	29.7833	23.5416	2.6862e-01	0.3628	0.641	1464.11	75.243	5.5106	7.346686
08 47	0.135	5.0177	29.7948	23.5494	2.6862e-01	0.3641	0.626	1464.18	75.288	5.5117	7.346686
08 47	0.135	5.0249	29.8061	23.5576	2.8083e-01	0.3616	0.663	1464.22	75.274	5.5094	7.346687
08 47	0.098	5.0293	29.8140	23.5634	2.6862e-01	0.3604	0.707	1464.25	75.319	5.5118	7.346687
08 47	0.148	5.0317	29.8174	23.5658	2.8083e-01	0.3567	0.689	1464.27	75.307	5.5104	7.346688
08 47	0.113	5.0285	29.8202	23.5684	2.8083e-01	0.3592	0.659	1464.26	75.343	5.5134	7.346688
08 47	0.113	5.0265	29.8198	23.5683	2.8083e-01	0.3555	0.634	1464.25	75.321	5.5121	7.346689
08 47	0.111	5.0266	29.8180	23.5668	2.9304e-01	0.3531	0.623	1464.24	75.294	5.5102	7.346689
08 47	0.088	5.0263	29.8175	23.5664	2.9304e-01	0.3506	0.619	1464.24	75.325	5.5125	7.346690
08 47	0.100	5.0180	29.8218	23.5707	2.9304e-01	0.3531	0.619	1464.21	75.368	5.5165	7.346690
08 47	0.088	4.9998	29.8240	23.5743	2.9304e-01	0.3531	0.619	1464.14	75.280	5.5125	7.346691
08 47	0.098	4.9645	29.8223	23.5766	2.9304e-01	0.3543	0.619	1463.99	75.368	5.5237	7.346691
08 47	0.088	4.9426	29.7974	23.5592	2.9304e-01	0.3555	0.623	1463.87	75.341	5.5255	7.346692
08 47	0.077	4.9563	29.7631	23.5306	2.9304e-01	0.3543	0.619	1463.88	75.368	5.5270	7.346692
08 47	0.088	4.9748	29.7655	23.5306	3.0525e-01	0.3567	0.615	1463.96	75.398	5.5266	7.346693
08 47	0.087	5.0006	29.7812	23.5404	3.0525e-01	0.3580	0.615	1464.09	75.375	5.5209	7.346693
08 47	0.077	5.0216	29.7941	23.5484	3.0525e-01	0.3592	0.619	1464.19	75.408	5.5201	7.346694
08 47	0.077	5.0297	29.8009	23.5530	3.0525e-01	0.3592	0.619	1464.24	75.444	5.5213	7.346694
08 47	0.088	5.0142	29.8121	23.5635	3.0525e-01	0.3592	0.619	1464.19	75.483	5.5258	7.346695
08 47	0.075	4.9991	29.8107	23.5639	3.0525e-01	0.3567	0.619	1464.12	75.459	5.5262	7.346695
08 47	0.077	4.9865	29.8066	23.5619	3.0525e-01	0.3580	0.619	1464.06	75.492	5.5304	7.346696
08 47	0.088	4.9769	29.8037	23.5606	2.9304e-01	0.3543	0.619	1464.02	75.462	5.5296	7.346696
08 47	0.077	4.9753	29.7986	23.5568	2.9304e-01	0.3543	0.615	1464.01	75.495	5.5324	7.346697
08 47	0.087	4.9764	29.7975	23.5557	2.8083e-01	0.3567	0.626	1464.01	75.521	5.5342	7.346697
08 47	0.088	4.9741	29.7993	23.5575	2.8083e-01	0.3580	0.641	1464.00	75.555	5.5369	7.346698
08 47	0.088	4.9767	29.7940	23.5530	2.8083e-01	0.3580	0.645	1464.01	75.526	5.5346	7.346698
08 47	0.098	4.9802	29.7909	23.5502	2.8083e-01	0.3616	0.634	1464.02	75.551	5.5362	7.346698
08 47	0.100	4.9799	29.7945	23.5531	2.8083e-01	0.3616	0.630	1464.02	75.585	5.5386	7.346699
08 47	0.100	4.9789	29.7973	23.5553	2.8083e-01	0.3604	0.623	1464.02	75.619	5.5410	7.346699
08 47	0.113	4.9804	29.7964	23.5545	2.8083e-01	0.3604	0.626	1464.03	75.598	5.5393	7.346700
08 47	0.111	4.9818	29.7964	23.5544	2.8083e-01	0.3592	0.623	1464.03	75.631	5.5416	7.346700
08 47	0.113	4.9841	29.7970	23.5546	2.8083e-01	0.3592	0.630	1464.04	75.663	5.5436	7.346701
08 47	0.135	4.9830	29.8004	23.5574	2.8083e-01	0.3592	0.648	1464.04	75.703	5.5465	7.346701
08 47	0.124	4.9767	29.8042	23.5610	2.8083e-01	0.3604	0.648	1464.02	75.679	5.5455	7.346702
08 47	0.135	4.9725	29.8015	23.5593	2.8083e-01	0.3604	0.648	1464.00	75.718	5.5490	7.346702
08 47	0.135	4.9658	29.8003	23.5591	2.9304e-01	0.3604	0.648	1463.97	75.755	5.5527	7.346703
08 47	0.135	4.9569	29.8006	23.5602	2.8083e-01	0.3616	0.648	1463.94	75.729	5.5519	7.346703
08 47	0.148	4.9503	29.7953	23.5567	2.9304e-01	0.3628	0.641	1463.90	75.765	5.5556	7.346704
08 47	0.147	4.9465	29.7892	23.5523	2.8083e-01	0.3641	0.634	1463.88	75.798	5.5588	7.346704
08 47	0.160	4.9431	29.7857	23.5498	2.9304e-01	0.3665	0.623	1463.86	75.830	5.5618	7.346705
08 47	0.160	4.9367	29.7865	23.5511	2.9304e-01	0.3665	0.615	1463.83	75.869	5.5654	7.346705
08 47	0.148	4.9315	29.7850	23.5505	3.0525e-01	0.3665	0.619	1463.81	75.905	5.5688	7.346706
08 47	0.171	4.9296	29.7816	23.5480	3.0525e-01	0.3653	0.623	1463.80	75.877	5.5671	7.346706
08 47	0.160	4.9332	29.7768	23.5438	2.9304e-01	0.3653	0.619	1463.81	75.908	5.5691	7.346707
08 47	0.160	4.9390	29.7728	23.5401	3.0525e-01	0.3641	0.619	1463.83	75.936	5.5706	7.346707
08 47	0.160	4.9423	29.7733	23.5401	2.9304e-01	0.3616	0.615	1463.84	75.971	5.5727	7.346708
08 47	0.158	4.9459	29.7749	23.5410	2.9304e-01	0.3604	0.615	1463.86	76.003	5.5745	7.346708
08 47	0.160	4.9551	29.7718	23.5377	2.9304e-01	0.3604	0.615	1463.89	75.969	5.5708	7.346709
08 47	0.160	4.9656	29.7685	23.5339	2.9304e-01	0.3592	0.612	1463.93	75.994	5.5714	7.346709
08 47	0.148	4.9698	29.7711	23.5356	2.9304e-01	0.3641	0.615	1463.95	76.017	5.5724	7.346710
08 47	0.158	4.9698	29.7790	23.5418	2.8083e-01	0.3641	0.615	1463.96	76.045	5.5742	7.346710
08 47	0.148	4.9654	29.7881	23.5494	2.9304e-01	0.3628	0.615	1463.95	76.008	5.5717	7.346711
08 47	0.148	4.9598	29.7950	23.5555	2.8083e-01	0.3628	0.619	1463.94	76.031	5.5739	7.346711
08 47	0.135	4.9558	29.7978	23.5581	2.8083e-01	0.3616	0.619	1463.93	76.049	5.5757	7.346712
08 47	0.147	4.9528	29.7979	23.5585	2.8083e-01	0.3604	0.626	1463.92	76.073	5.5778	7.346712
08 47	0.135	4.9528	29.7939	23.5554	2.6862e-01	0.3628	0.634	1463.91	76.093	5.5794	7.346712
08 47	0.135	4.9517	29.7925	23.5544	2.6862e-01	0.3641	0.645	1463.90	76.046	5.5761	7.346713
08 47	0.122	4.9494	29.7918	23.5540	2.6862e-01	0.3641	0.648	1463.89	76.057	5.5773	7.346713
08 47	0.135	4.9514	29.7864	23.5496	2.8083e-01	0.3616	0.670	1463.89	76.073	5.5784	7.346714
08 47	0.113	4.9552	29.7802	23.5443	2.8083e-01	0.3628	0.685	1463.90	76.014	5.5738	7.346714
08 47	0.124	4.9589	29.7770	23.5413	2.8083e-01	0.3653	0.681	1463.91	76.021	5.5740	7.346715
08 47	0.111	4.9606	29.7783	23.5422	2.8083e-01	0.3653	0.678	1463.92	76.025	5.5739	7.346715
08 47	0.113	4.9585	29.7829	23.5460	2.9304e-01	0.3641	0.769	1463.92	76.033	5.5746	7.346716
08 47	0.113	4.9501	29.7912	23.5535	2.8083e-01	0.3653	0.850	1463.90	76.046	5.5764	7.346716
08 47	0.100	4.9442	29.7926	23.5552	2.8083e-01	0.3653	0.853	1463.87	75.991	5.5732	7.346717
08 47	0.098	4.9443	29.7852	23.5493	2.8083e-01	0.3641	0.791	1463.86	75.995	5.5737	7.346717
08 47	0.113	4.9465	29.7776	23.5431	2.8083e-01	0.3641	0.751	1463.86	75.939	5.5696	7.346718
08 47	0.100	4.9545	29.7683	23.5349	2.8083e-01	0.3616	0.733	1463.88	75.942	5.5691	7.346718
08 47	0.100	4.9511	29.7721	23.5383	2.9304e-01	0.3592	0.755	1463.87	76.005	5.5740	7.346719
08 47	0.098	4.9367	29.7858	23.5506	2.9304e-01	0.3604	0.795	1463.83	75.956	5.5718	7.346719
08 47	0.088	4.9220	29.7944	23.5589	3.0525e-01	0.3628	0.839	1463.78	75.956	5.5735	7.346720
08 47	0.113	4.9222	29.7882	23.5540	3.0525e-01	0.3616	0.894	1463.78	75.959	5.5739	7.346720
