%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	0.122	4.7917	29.7217	23.5145	2.8083e-01	0.3604	0.634	1463.15	73.284	5.3970	7.346634
08 47	0.124	4.8014	29.7211	23.5131	2.8083e-01	0.3592	0.637	1463.19	73.184	5.3883	7.346634
08 47	0.113	4.8066	29.7270	23.5172	2.8083e-01	0.3567	0.652	1463.22	73.086	5.3802	7.346635
08 47	0.111	4.8099	29.7321	23.5209	2.8083e-01	0.3580	0.670	1463.24	73.062	5.3779	7.346635
08 47	0.113	4.8112	29.7362	23.5240	2.9304e-01	0.3580	0.696	1463.25	72.978	5.3714	7.346636
08 47	0.100	4.8171	29.7356	23.5230	2.9304e-01	0.3580	0.707	1463.27	72.907	5.3654	7.346636
08 47	0.100	4.8208	29.7406	23.5266	2.9304e-01	0.3543	0.751	1463.30	72.847	5.3603	7.346637
08 47	0.098	4.8254	29.7431	23.5280	2.8083e-01	0.3519	0.784	1463.32	72.789	5.3554	7.346637
08 47	0.088	4.8295	29.7413	23.5263	2.9304e-01	0.3543	0.821	1463.33	72.788	5.3549	7.346638
08 47	0.088	4.8313	29.7380	23.5234	3.0525e-01	0.3567	0.850	1463.34	72.742	5.3513	7.346638
08 47	0.088	4.8529	29.7234	23.5097	2.9304e-01	0.3567	0.868	1463.41	72.696	5.3457	7.346639
08 47	0.087	4.8705	29.7239	23.5083	2.9304e-01	0.3567	0.832	1463.48	72.712	5.3446	7.346639
08 47	0.088	4.8690	29.7342	23.5166	2.8083e-01	0.3580	0.773	1463.49	72.666	5.3410	7.346640
08 47	0.088	4.8870	29.7341	23.5147	2.9304e-01	0.3567	0.722	1463.56	72.689	5.3404	7.346640
08 47	0.088	4.9027	29.7532	23.5282	3.0525e-01	0.3567	0.696	1463.65	72.657	5.3353	7.346641
08 47	0.075	4.9199	29.7667	23.5372	3.1746e-01	0.3567	0.685	1463.74	72.677	5.3341	7.346641
08 47	0.088	4.9473	29.7605	23.5295	3.2967e-01	0.3580	0.703	1463.84	72.707	5.3330	7.346642
08 47	0.088	4.9604	29.7561	23.5246	3.2967e-01	0.3580	0.791	1463.89	72.673	5.3290	7.346642
08 47	0.088	4.9508	29.7626	23.5308	3.2967e-01	0.3555	0.901	1463.86	72.691	5.3313	7.346643
08 47	0.087	4.9343	29.7694	23.5378	3.1746e-01	0.3567	0.934	1463.80	72.710	5.3346	7.346643
08 47	0.088	4.9220	29.7702	23.5397	3.0525e-01	0.3567	0.883	1463.75	72.734	5.3379	7.346644
08 47	0.100	4.9321	29.7593	23.5301	2.9304e-01	0.3555	0.806	1463.78	72.706	5.3350	7.346644
08 47	0.075	4.9522	29.7592	23.5279	2.9304e-01	0.3567	0.758	1463.86	72.739	5.3348	7.346644
08 47	0.113	4.9704	29.7708	23.5352	2.9304e-01	0.3592	0.729	1463.95	72.772	5.3345	7.346645
08 47	0.100	4.9745	29.7840	23.5453	2.9304e-01	0.3567	0.700	1463.99	72.801	5.3356	7.346645
08 47	0.113	4.9687	29.7877	23.5488	2.9304e-01	0.3567	0.678	1463.97	72.828	5.3382	7.346646
08 47	0.111	4.9652	29.7818	23.5445	2.9304e-01	0.3592	0.667	1463.95	72.855	5.3408	7.346646
08 47	0.113	4.9692	29.7765	23.5399	2.9304e-01	0.3580	0.670	1463.96	72.883	5.3426	7.346647
08 47	0.124	4.9726	29.7767	23.5397	2.9304e-01	0.3555	0.674	1463.97	72.909	5.3440	7.346647
08 47	0.124	4.9676	29.7830	23.5452	2.9304e-01	0.3555	0.678	1463.96	72.939	5.3467	7.346648
08 47	0.135	4.9615	29.7842	23.5468	2.9304e-01	0.3567	0.678	1463.93	72.966	5.3494	7.346648
08 47	0.124	4.9596	29.7725	23.5377	2.9304e-01	0.3592	0.674	1463.91	73.054	5.3565	7.346649
08 47	0.135	4.9332	29.7750	23.5424	2.8083e-01	0.3604	0.667	1463.81	73.076	5.3614	7.346649
08 47	0.124	4.8996	29.7785	23.5486	2.8083e-01	0.3628	0.663	1463.67	73.099	5.3673	7.346650
08 47	0.135	4.8793	29.7735	23.5467	2.9304e-01	0.3665	0.663	1463.58	73.121	5.3718	7.346650
08 47	0.135	4.8621	29.7716	23.5470	3.0525e-01	0.3665	0.659	1463.51	73.138	5.3753	7.346651
08 47	0.148	4.8500	29.7712	23.5478	3.0525e-01	0.3665	0.659	1463.46	73.221	5.3830	7.346651
08 47	0.135	4.8459	29.7707	23.5478	3.0525e-01	0.3665	0.659	1463.44	73.244	5.3852	7.346652
08 47	0.135	4.8559	29.7585	23.5372	3.0525e-01	0.3702	0.659	1463.46	73.271	5.3863	7.346652
08 47	0.148	4.8545	29.7492	23.5299	3.1746e-01	0.3690	0.670	1463.45	73.358	5.3932	7.346653
08 47	0.135	4.8456	29.7430	23.5259	3.0525e-01	0.3690	0.692	1463.40	73.441	5.4007	7.346653
08 47	0.135	4.8370	29.7422	23.5262	3.0525e-01	0.3665	0.700	1463.37	73.344	5.3947	7.346654
08 47	0.135	4.8359	29.7403	23.5248	2.9304e-01	0.3665	0.685	1463.36	73.472	5.4044	7.346654
08 47	0.135	4.8419	29.7379	23.5223	3.0525e-01	0.3677	0.670	1463.38	73.553	5.4097	7.346655
08 47	0.135	4.8556	29.7415	23.5237	3.1746e-01	0.3690	0.659	1463.44	73.570	5.4089	7.346655
08 47	0.124	4.8696	29.7515	23.5303	3.1746e-01	0.3665	0.656	1463.51	73.581	5.4076	7.346656
08 47	0.135	4.8847	29.7603	23.5357	3.0525e-01	0.3641	0.652	1463.59	73.651	5.4105	7.346656
08 47	0.124	4.9068	29.7657	23.5377	2.9304e-01	0.3616	0.645	1463.68	73.663	5.4082	7.346657
08 47	0.113	4.9340	29.7687	23.5373	2.9304e-01	0.3592	0.645	1463.80	73.724	5.4091	7.346657
08 47	0.124	4.9574	29.7717	23.5373	2.8083e-01	0.3592	0.645	1463.90	73.723	5.4058	7.346658
08 47	0.122	4.9725	29.7767	23.5397	2.8083e-01	0.3592	0.645	1463.97	73.776	5.4076	7.346658
08 47	0.113	4.9915	29.7769	23.5379	2.8083e-01	0.3567	0.645	1464.05	73.830	5.4091	7.346658
08 47	0.113	5.0118	29.7846	23.5419	2.9304e-01	0.3592	0.641	1464.14	73.893	5.4108	7.346659
08 47	0.098	5.0271	29.7977	23.5508	2.9304e-01	0.3592	0.637	1464.22	73.892	5.4082	7.346659
08 47	0.100	5.0399	29.8041	23.5544	2.8083e-01	0.3580	0.634	1464.28	73.944	5.4101	7.346660
08 47	0.100	5.0470	29.8090	23.5576	2.8083e-01	0.3604	0.637	1464.32	73.931	5.4081	7.346660
08 47	0.113	5.0419	29.8151	23.5630	2.8083e-01	0.3628	0.637	1464.30	73.970	5.4113	7.346661
08 47	0.087	5.0334	29.8139	23.5629	2.9304e-01	0.3592	0.637	1464.27	74.013	5.4157	7.346661
08 47	0.100	5.0298	29.8081	23.5587	2.9304e-01	0.3567	0.630	1464.25	74.055	5.4194	7.346662
08 47	0.088	5.0300	29.8076	23.5583	3.0525e-01	0.3567	0.626	1464.25	74.094	5.4223	7.346662
08 47	0.088	5.0292	29.8108	23.5609	3.0525e-01	0.3555	0.619	1464.25	74.075	5.4209	7.346663
08 47	0.087	5.0295	29.8106	23.5607	2.9304e-01	0.3592	0.634	1464.25	74.106	5.4231	7.346663
